ESTABLISHMENTNAME,EXACT LOCATION,STREETADDRESS,SUBURB,TOWNNAME,POSTALADDRESS,PHONE,PRINCIPALECONOMIC ACTIVITY
ABI GAIL'S SHOP,OPPOSITE S.D.A CHURCH,NANKABA STREET,ANYINAMFIE,OBUASI,,547124039,"Manufacture of wearing apparel, except fur apparel"
ABI'S BEAUTY SALON,ADJACENT BIG ALLAH ENTERPRISE,AKAPORISO STREET,AKAPORISO,OBUASI,,NULL,Hairdressing and other beauty treatment
ABIBA RAZAK PROVISIONS STORE,DOWNWARD AFTER THE PUBLIC TOILET,,KOFFEKROM,OBUASI,,NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ABIGAIL BENTISIL' S SHOP,BEHIND BIDIESO MOSQUE,BIDIESO STRETT,BIDIESO,OBUASI,,243594448,"Manufacture of wearing apparel, except fur apparel"
ABIGAIL MENSAH'S PROVISIONS STORE,NEXT TO AKWASI FASHION DESINE,KWABENAKWA ROAD,ASONKORE,ASONKORE,,NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ABIGAIL OPARE'S BABY SHOP,OPPOSITE MARANATHA SALON,BOSSMAN STREET,BOSSMAN,OBUASI,,242580767,"Retail sale of clothing, footwear and leather articles in specialized stores"
ABILOVE ASHANTI BEAUTY SALON,NEXT ASONORE MARKET,KWABENAKWA ROAD,ASONKORE,ASONKORE,,NULL,Hairdressing and other beauty treatment
ABLOWA METALS,BEHIND  STADIUM -BOGOBIRI,KWMARA ROAD,BOGOBIRI,BOGOBIRI,"P. O. BOX 1185, OBUASI",NULL,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
ABOA KESE SPOT,OPPOSITE 31ST SCHOOL,,BOGOBIRI,OBUASI,,249698119,Beverage serving activities
ABOA ONI DUA'S SHOP,OPPOSITE THE STATION BAR,ANTWI SAMPA DRIVE,OBUAI CENTRAL,OBUASI,,242317120,Other retail sale in non-specialized stores
ABOAGYE JANET'S PROVISIONS STORE,ADJACENT KUNKA HEALTH CENTRE,BINSERE ROAD,KUNKA,OBUASI,,576540587,Retail sale of beverages in specialized stores
ABOAGYE MOTORS,H/NO BO/5/A,BOGOBIRI ROAD,BOGOBIRI,OBUASI,,277644771,"Sale, maintenance and repair of motorcycles and related parts and accessories"
ABOAGYE'S SHOP,ADJACENT CHURCH OF PENTECOST,BINSERE ROAD,KUNKA,OBUASI,,246698443,Manufacture of structural metal products
ABOTEREYE POUTRY FARM,NYAMESOMYEDE VILLAGE SQUARE ROAD,NYAMESOMYEDE,NYAMESOMYEDE,NYAMESOMYEDE,,NULL,Raising of poultry
ABRAHAM AMOAKO'S WELDING SHOP,OPPOSITE KUNKA HOSPITAL,BIMSERE ROAD,KUNKA,OBUASI,,245292869,Manufacture of structural metal products
ABRAHAM'S LOTTO KIOSK,BEHIND THE PUBLIC TOILET A,ANYINAMFIE ROAD,ANYINAMFIE,OBUASI,,543737385,Gambling and betting activities
ABREWA STORE,NEW SITE BEHIND ASONKORE PRIMARY SCHOOL,ASONKORE NEW SITE,ASONKORE,ASONKORE,"P. O. BOX 32, OBUASI",NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ABREWA'S STORE,OPPOSITE ROSE GARDENS,ABUSCO ROAD,AKAPORISO,OBUASI,,271448489,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ABROSO SPOT AND PUB,BEHIND SANTIAGO SPOT,VICTORIA GARDENS STREET,KOFFEKROM EXTENSION,OBUASI,"P. O. BOX AGA 82, OBUASI",201554452,Beverage serving activities
ABU ADAMS ENTERPRISE,OPPOSITE MASTER AHOOLU'S WELDING SHOP,BORN AGAIN ROAD,BOGOBIRI,OBUASI,"P. O. BOX 590, OBUASI",244830340,Construction of buildings
ABU ADAMS ENTERPRISE,OPPOSITE MASTER AHOOLU'S WELDING SHOP,BORN AGAIN ROAD,BOGOBIRI,OBUASI,"P. O. BOX 590, OBUASI",244830340,Travel agency activities
ABU ADAMS ENTERPRISE,OPPOSITE MASTER AHOOLU'S WELDING SHOP,BORN AGAIN ROAD,BOGOBIRI,OBUASI,"P. O. BOX 590, OBUASI",244830340,Wholesale of metals and metal ores
ABU ADAMS ENTERPRISE,OPPOSITE PRESBY PRIMARY SCHOOL,SCHOOL ROAD,J.J. NEW NSUTA,NEW NSOUTA OBUASI,"P. O. BOX 590, OBUASI",542339556,Construction of buildings
ABU ADAMS ENTERPRISE,OPPOSITE PRESBY PRIMARY SCHOOL,SCHOOL ROAD,J.J. NEW NSUTA,NEW NSOUTA OBUASI,"P. O. BOX 590, OBUASI",542339556,Travel agency activities
ABU ADAMS ENTERPRISE,OPPOSITE PRESBY PRIMARY SCHOOL,SCHOOL ROAD,J.J. NEW NSUTA,NEW NSOUTA OBUASI,"P. O. BOX 590, OBUASI",542339556,Wholesale of metals and metal ores
ABU ADAMS ENTERPRISE,BESIDE BORN AGAIN JUNCTION,,BOGOBIRI,OBUASI,"P. O. BOX 590, OBUASI",244830340,Construction of buildings
ABU ADAMS ENTERPRISE,BESIDE BORN AGAIN JUNCTION,,BOGOBIRI,OBUASI,"P. O. BOX 590, OBUASI",244830340,Travel agency activities
ABU ADAMS ENTERPRISE,BESIDE BORN AGAIN JUNCTION,,BOGOBIRI,OBUASI,"P. O. BOX 590, OBUASI",244830340,Wholesale of metals and metal ores
ABU'S BARBERING SHOP,"BOGOBIRI WEST, ADJACENT LYDIA FASHION CENTER",,BOGOBIRI,OBUASI,,545149575,Hairdressing and other beauty treatment
ABU'S BROTHERS,INFRONT OF HOUSE NO. BD/7/A,AKWASI OBENG,BIDIESO,OBUASI,,242950166,"Retail sale of clothing, footwear and leather articles in specialized stores"
ABUBAKAR SADICK BARBERING SHOP,OPPOSITE THE PUBLIC TOILET,,BOGOBIRI,OBUASI,"P. O. BOX 48, OBUASI",542530417,Hairdressing and other beauty treatment
ABUBAKARI SAEED HERBAL SHOP,OPPOSITE HOUSE NO. GU 28/D,,GAUSU,OBUASI,,242202441,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
ABUKARI SEIDU'S ENTERPRISE,BEHIND UTRAK FINANCIAL SERVICES,APOSTOLIC ROAD,AKAPORISO,OBUASI,,249407317,Repair of consumer electronics
ABUNDANT GRACE INTERNATIONAL SCHOOL,GAUSU EXTENSION OPPOSITE FORMER CONFIDENCE HOTEL,CONFIDENCE ROAD,GAUSU,OBUASI,"P. O. BOX 1200, OBUASI",243826622,General secondary education
ABUNDANT GRACE INTERNATIONAL SCHOOL,GAUSU EXTENSION OPPOSITE FORMER CONFIDENCE HOTEL,CONFIDENCE ROAD,GAUSU,OBUASI,"P. O. BOX 1200, OBUASI",243826622,Pre-primary and primary education
ABUNDANT GRACE INTERNATIONAL SCHOOL,ADJACENT JOYCE MENSAH PROVISION STORE,DUNKWA ROAD,BIDIEM,OBUASI,"P. O. BOX 1200, OBUASI",243826622,General secondary education
ABUNDANT GRACE INTERNATIONAL SCHOOL,ADJACENT JOYCE MENSAH PROVISION STORE,DUNKWA ROAD,BIDIEM,OBUASI,"P. O. BOX 1200, OBUASI",243826622,Pre-primary and primary education
ABUSCO ROYAL INTERNATIONAL SCHOOL,OPPOSITE ADANSI HIGH TECHNICAL SCHOOL,ABUSCO ROAD,AKAPORISO,OBUASI,"P. O. BOX 732, OBUASI",277730794,Pre-primary and primary education
"ACCRA BREWERY, OBUASI DEPOT",BOGOBIRI H/NO 64,BOGOBIRI ROAD,BOGOBIRI,OBUASI,,244864879,"Wholesale of food, beverages and tobacco"
ACHEAMPONG'S LOTTO KIOSK,ADJACENT KWESI MENSAH SHAFT,K.M.S ROAD,ANYINAM,OBUASI,"P. O. BOX 14, OBUASI CENTRAL",248183948,Gambling and betting activities
ACTIC INVESTMENT,NEXT TO ASONKORE BUS STOP,KWABENAKWA ROAD,ASONKORE,ASONKORE,"P. O. BOX 613, OBUASI",208124116,Manufacture of soft drinks; production of mineral waters and other bottled waters
ADAASI M/A JHS,ADJACENT ADAASE PRIMARY SCHOOL,,ADAASE,OBUASI,"P. O. BOX 168, OBUASI",242071098,General secondary education
ADAASI M/A PRIMARY SCHOOL,ADJACENT ANGLICAN CHURCH,,ADAASI,OBUASI,"P. O. BOX 186, OBUASI",267616399,Pre-primary and primary education
ADAMS MORO'S STORE,"MARKET AREA, ADJACENT ADOM BARBERING SHOP",MARKET LANE,GAUSU,OBUASI,,NULL,Retail sale of food in specialized stores
ADAMU MOHAMMED'S SHOP,BEHIND THE TOWN HALL BUILDING,ANTWI SAMPA DRIVE,OBUASI CENTRAL,OBUASI,,205511093,"Manufacture of wearing apparel, except fur apparel"
ADAMU YAHAYA MOSQUE,PLOT ZO 26 A,112 OBUASI HIGH STREET,ZONGO,OBUASI,,201825613,Activities of religious organizations
ADANSI TECHNICAL HIGH SCHOOL,ADANSI TECHNICAL HIGH SCHOOL,ABUSCO ROAD,AKAPORISO,OBUASI,"P. O. BOX 571, OBUASI",243711026,Technical and vocational secondary education
ADDRIT'S ENTERPRISE,OPPOSITE WAHGARA MOSQUE,BEATRICE PRAH DRIVE,NEW NSUTA,OBUASI,"P. O. BOX 411, OBUASI",245149482,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
ADEPA FAST FOOD,OPPOSITE JUBRO FILLING STATION,OBUASI-KUMASI ROAD,KUNKA,OBUASI,,247009316,Restaurants and mobile food service activities
ADISA'S SHOP,OPPOSITE GOLD REEF ANEX QUEST HOUSE,O'SECTECH STREET,KOFFEKROM,OBUASI,,NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ADIZA ALHAJI RASHIMA'S STORE,ADJACENT AFUA AFRIFAA III WALK BEHIND ANASS TAILORSHOP,AFUA AFRIFAA III WALK,CENTRAL,OBUASI,,207407339,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores"
ADIZA ALI GARIBA FASHION,OPPOSITE OBUASI SECONDARY TECHNICAL SCHOOL,ENEFEL ROAD,GAUSU,OBUASI,,NULL,Manufacture of other textiles n.e.c.
ADIZA YUSIE PROVISIONS STORE,AFTER EMMANUEL PROVISIONS STORE,,GAUSU,OBUASI,,NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ADIZA'S SHOP,BEHIND THE TOWN HALL BUILDING,AFUA AFRIFAA III WALK,CENTRAL MARKET,OBUASI,,547995921,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ADIZA'S SHOP,BEHIND THE TOWN HALL BUILDING,AFUA AFRIFAA III WALK,CENTRAL MARKET,OBUASI,,547995921,"Retail sale of clothing, footwear and leather articles in specialized stores"
ADIZA'S SHOP,BEHIND GLICO INSURANCE COMPANY,OBUASI HIGH STREET,NEW NSUTA,OBUASI,,279059971,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ADIZA'S SHOP,BEHIND GLICO INSURANCE COMPANY,OBUASI HIGH STREET,NEW NSUTA,OBUASI,,279059971,"Retail sale of clothing, footwear and leather articles in specialized stores"
ADJEI FURNITURES,OPPOSITE ADJEI HOME TEACHERS,AKAPORISO STREET,AKAPORISO,OBUASI,"P. O. BOX 632, OBUASI",270663885,Manufacture of furniture
ADJEI'S ENTERPRISE,"STORE NO. 12, CENTRAL MARKET",CENTRAL MARKET ROAD,CENTRAL MARKET,OBUASI,,207160984,"Retail sale of hardware, paints and glass in specialized stores"
ADJEI'S SHOP,OPPOSITE PROGRESSIVE WASHING BAY,ANYINAMFIE ROAD,ANYINAMFIE,OBUASI,,246376712,Repair of consumer electronics
ADJOA FORJOUR'S SHOP,BEHIND ABOAGYE MOTOR,,BOGOBIRI,OBUASI,,545142941,Finishing of textiles
ADJOA KONADU SALOMAY SHOP,OPPOSITE MARTIN DONKOR ENTERPRISE,BINSERE ROAD,KUNKA,OBUASI,,508364521,Sale of motor vehicle parts and accessories
ADJOWAA MENU'S SHOP,BEHIND MEAT RETAILERS STORE NO. 293A,CENTRAL STREET,CENTRAL MARKET,OBUASI,,246693659,"Retail sale of clothing, footwear and leather articles in specialized stores"
ADOM  ELECTRONICS,PLOT NN 79,133 OBUASI HIGH STREET,NEW NSUTA,OBUASI,,246192023,Repair of consumer electronics
ADOM ARA KWA ENTERPRISE,"ABUSCO LORRY STATION, BEHIND DEADOM ARA KWAENTERPRISE",,AKAPORISO,OBUASI,,243757260,Retail sale of food in specialized stores
ADOM ARA KWA PROVISION STORE,PENTECOST JUNCTION OPPOSITE THE HOSPITAL,BIMSERE ROAD,KUNKA,OBUASI,,242676000,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ADOM ARAKWA PROVISIONS,ADJACENT NOT BY MIGHT SHOP,BOSSMAN STAREET,BOSSMAN,OBUASI,,548539234,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
"ADOM ARTS, WELDERING AND FABRICATION",HOLD CHILD SCHOOL JUNCTION OPPOSITE THE WASHINGBAY,HOLY CHILD SCHOOL ROAD,BOGOBIRI,OBUASI,,541849649,Manufacture of structural metal products
ADOM BABIES CORNER,OPPOSITE HORSEY PARK BUILDING BESIDES THE MAINROAD,CENTRAL STATION ROAD,NEW NSUTA,OBUASI,,243474424,Other retail sale in non-specialized stores
ADOM BARBERING SHOP,BEHIND TAWIA'S STORY BUILDING,KUMASI DUNKWA ROAD,KUNKA,OBUASI,,546461005,Hairdressing and other beauty treatment
ADOM BARBERING SHOP,BEHIND TAWIA'S STORY BUILDING,KUMASI DUNKWA ROAD,KUNKA,OBUASI,,546461005,Hairdressing and other beauty treatment
ADOM BARBERING SHOP,ADJACENT ADAMS MORO'S STORE,,GAUSU,OBUASI,,249823825,Hairdressing and other beauty treatment
ADOM BARBERING SHOP,ADJACENT ADAMS MORO'S STORE,,GAUSU,OBUASI,,249823825,Hairdressing and other beauty treatment
ADOM BEAUTY SALON,OPPOSITE MAVI'S STORE ALONG BRYANT MISSION SCHOOL,ALHAJI SEIDU'S STREET,ABOAGYEKROM,OBUASI,,240962060,Hairdressing and other beauty treatment
ADOM BEAUTY SALON,OPPOSITE ROYAL PRINTING PRESS,,KWABENAKWA,KWABENAKWA,,540817651,Hairdressing and other beauty treatment
ADOM BI KEKE BEAUTY SALON,ADJACENT VODAFONE GHANA,CHURCH ROAD,NEW NSUTA- HORSEY PARK,NEW NSOUTA OBUASI,,540709775,Hairdressing and other beauty treatment
ADOM BI NTI COLD STORE,BEHIND JOE-TOP DRINKING WATER,L/A PRIMARY SCHOOL STREET,ASONKORE NEW SITE,ASONKORE,,NULL,Retail sale of food in specialized stores
ADOM COLD STORE,OPPOSITE STEPHEN'S FASHION,KOKOTEASUA ROAD,KOKOTEASUA,OBUASI,,541724601,Retail sale of food in specialized stores
ADOM COLD STORE,OPPOSITE HORSE PARK,NINE MILES STATION,ESTATE,OBUASI,,207652697,Retail sale of food in specialized stores
ADOM COLD STORE,OPPOSITE  RAF SOUNDS,,BIDIESO,OBUASI,,NULL,Retail sale of food in specialized stores
ADOM COOL STORE,BEHIND APOSTOLIC CHURCH,,SANSO,OBUASI,,209662448,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ADOM ENTERPRISE,ADJACENT CHRIST APOSTOLIC CHURCH,JUST LOVE ROAD,GAUSU EXTENSION,OBUASI,"P. O. BOX 539, OBUASI",249162704,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ADOM ENTERPRISE,ADJACENT CHRIST APOSTOLIC CHURCH,JUST LOVE ROAD,GAUSU EXTENSION,OBUASI,"P. O. BOX 539, OBUASI",249162704,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ADOM ENTERPRISE,ADJACENT CHRIST APOSTOLIC CHURCH,JUST LOVE ROAD,GAUSU EXTENSION,OBUASI,"P. O. BOX 539, OBUASI",249162704,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ADOM ENTERPRISE,ADJACENT CHRIST APOSTOLIC CHURCH,JUST LOVE ROAD,GAUSU EXTENSION,OBUASI,"P. O. BOX 539, OBUASI",249162704,Retail sale of food in specialized stores
ADOM ENTERPRISE,ADJACENT CHRIST APOSTOLIC CHURCH,JUST LOVE ROAD,GAUSU EXTENSION,OBUASI,"P. O. BOX 539, OBUASI",249162704,"Wholesale of food, beverages and tobacco"
ADOM ENTERPRISE,INFRONT OF PALACE BUILDING,CHIEF'S PALACE STREET,KWABENAKWA,KWABENAKWA,"P. O. BOX 146, OBUASI",547537308,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ADOM ENTERPRISE,INFRONT OF PALACE BUILDING,CHIEF'S PALACE STREET,KWABENAKWA,KWABENAKWA,"P. O. BOX 146, OBUASI",547537308,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ADOM ENTERPRISE,INFRONT OF PALACE BUILDING,CHIEF'S PALACE STREET,KWABENAKWA,KWABENAKWA,"P. O. BOX 146, OBUASI",547537308,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ADOM ENTERPRISE,INFRONT OF PALACE BUILDING,CHIEF'S PALACE STREET,KWABENAKWA,KWABENAKWA,"P. O. BOX 146, OBUASI",547537308,Retail sale of food in specialized stores
ADOM ENTERPRISE,INFRONT OF PALACE BUILDING,CHIEF'S PALACE STREET,KWABENAKWA,KWABENAKWA,"P. O. BOX 146, OBUASI",547537308,"Wholesale of food, beverages and tobacco"
ADOM ENTERPRISE,OPPOSITE GAUSU MARKET,GAUSU STREET,KULAM,OBUASI,,544229020,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ADOM ENTERPRISE,OPPOSITE GAUSU MARKET,GAUSU STREET,KULAM,OBUASI,,544229020,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ADOM ENTERPRISE,OPPOSITE GAUSU MARKET,GAUSU STREET,KULAM,OBUASI,,544229020,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ADOM ENTERPRISE,OPPOSITE GAUSU MARKET,GAUSU STREET,KULAM,OBUASI,,544229020,Retail sale of food in specialized stores
ADOM ENTERPRISE,OPPOSITE GAUSU MARKET,GAUSU STREET,KULAM,OBUASI,,544229020,"Wholesale of food, beverages and tobacco"
ADOM ENTERPRISE,OPPOSITE CHURCH OF PENTECOST,NANKABA STREET,ANYINAM,OBUASI,,NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ADOM ENTERPRISE,OPPOSITE CHURCH OF PENTECOST,NANKABA STREET,ANYINAM,OBUASI,,NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ADOM ENTERPRISE,OPPOSITE CHURCH OF PENTECOST,NANKABA STREET,ANYINAM,OBUASI,,NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ADOM ENTERPRISE,OPPOSITE CHURCH OF PENTECOST,NANKABA STREET,ANYINAM,OBUASI,,NULL,Retail sale of food in specialized stores
ADOM ENTERPRISE,OPPOSITE CHURCH OF PENTECOST,NANKABA STREET,ANYINAM,OBUASI,,NULL,"Wholesale of food, beverages and tobacco"
ADOM ENTERPRISE,OPPOSITE TIME FM,OFF DUNKWAN ROAD,NYAMESO,OBUASI,,540617212,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ADOM ENTERPRISE,OPPOSITE TIME FM,OFF DUNKWAN ROAD,NYAMESO,OBUASI,,540617212,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ADOM ENTERPRISE,OPPOSITE TIME FM,OFF DUNKWAN ROAD,NYAMESO,OBUASI,,540617212,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ADOM ENTERPRISE,OPPOSITE TIME FM,OFF DUNKWAN ROAD,NYAMESO,OBUASI,,540617212,Retail sale of food in specialized stores
ADOM ENTERPRISE,OPPOSITE TIME FM,OFF DUNKWAN ROAD,NYAMESO,OBUASI,,540617212,"Wholesale of food, beverages and tobacco"
ADOM FIE PROVISIONS STORE,BEHIND  APITIKOOKO JHS FIELD,APITISO ROAD,APITIKOOKO,OBUASI,"P. O. BOX 225, OBAUSI",246920551,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ADOM LIGHT REPAIR SHOP,BESIDES UNITY CAR AUTO SPRAYING,KAMARA DINI ROAD,BOGOBIRI,BOGOBIRI,,268950508,Maintenance and repair of motor vehicles
ADOM MOROSO BEAUTY SALON,OPPOSITE LIGHT HOUSE CHAPEL INTERNATIONAL,BINSERE RAOD,KUNKA,OBUASI,,241290033,Hairdressing and other beauty treatment
ADOM PHONES,OPPOSITE KUNKA PUBLIC TOILET,BINSERE ROAD,KUNKA,OBUASI,,240136991,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores"
ADOM SHOP,"ANTWI SAMPA DRIVE , STORE NO. 27",ANTWI SAMPA DRIVE,CENTRAL MARKET,OBUASI,,267385665,"Manufacture of wearing apparel, except fur apparel"
ADOM VALENTINES'S STORE,"STORE NO. 78, ON ANTWI SAMPA DRIVE NEAR MAIN SHED",ANTWI SAMPA DRVIE,OBUASI CENTRAL,OBUASI,,242159422,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores"
ADOM WO SHOP,OPPOSITE ST. PAUL ANGLICAN CHURCH,AUNTE ABEBRESE WALK,OBUASI CENTRAL,OBUASI,,244827571,Manufacture of furniture
ADOM WO WIEM STORE,OPPOSITE PRESBY CHURCH,BINSERE ROAD,KUNKA,OBUASI,,276806830,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ADOM WO WIM,BEHIND CLUB 10,CLUB 10 ROAD,BOGOBIRI,OBUASI,,247675910,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ADOM WO WIM,BEHIND CLUB 10,CLUB 10 ROAD,BOGOBIRI,OBUASI,,247675910,Hairdressing and other beauty treatment
ADOM WO WIM,ADJACENT OHEMAA'S SPOT,O'SECTECH ROAD,KOFFEKROM,OBUASI,,249194778,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ADOM WO WIM,ADJACENT OHEMAA'S SPOT,O'SECTECH ROAD,KOFFEKROM,OBUASI,,249194778,Hairdressing and other beauty treatment
