ESTABLISHMENT NAME,EXACT LOCATION,STREET ADDRESS,SUBURB,TOWN NAME,POSTAL ADDRESS,TELEPHONE NO.,EMAIL,SECTOR,SIZE,,,,
ADAMS FATIMA STORE,POLICE STATION JUNCTION,,,BOLE,,0208164813,,SERVICE,A,,,,
ADAMS HUDA SHOP,300M NORTH TO WENCHI RURAL BANK,BOLE BAMBOI ROAD,BAMBOI,BAMBOI,,0279680312,,SERVICE,A,,,,
ADAMS MUMUNI SHOP,AFTER DAWUD'S BAKERY,,,BOLE,,0241169768,,SERVICE,A,,,,
ADAMS OB PROVISION SHOP,ADJECENT NBONSO CENTRAL MOSQUE,,NBONSO,KABILMA,,,,SERVICE,A,,,,
ADAMS YUSSIF WATARA MOTOR MECHANIC SHOP,NEAR THE TOWNSHIP DUMP,,,BOLE,,0544650858,,SERVICE,A,,,,
ADAMU DAKRUPE SHOP,JUNCTION OPPOSITE OA STATION,,,BOLE,,0541104567,,SERVICE,A,,,,
ADIGATA ENTERPRISE,JUNCTION OPPOSITE ABIJAN BOY,,,BOLE,,0244505177,,SERVICE,A,,,,
ADIYA ALHASSAN DRESS MAKING,OPPOSITE JAPAN BASE,,,BANDA NKWANTA,,0541037475,,INDUSTRY,A,,,,
AFACHA DRINKING SPOT,AFACHA'S HOUSE,,,NSUNUA,,,,SERVICE,A,,,,
AFIA CHOP BAR,OPPOSITE MR. OFORI HOUSE,,,TINGA,,0544417922,,SERVICE,A,,,,
AFIA SAPONG DRINKING AND CHOP BAR,BESIDES SIATA'S STORE,,,MANKUMA,,0279125268,,SERVICE,A,,,,
AFISATA BUSINESS CENTRE,THE SAME BUILDING WITH ABUBAKARI BUSINESS CENTRE,,,BANDA NKWANTA,,,,SERVICE,A,,,,
AFISATA'S STORE,ADJACENT THE NDC OFFICE,,,DOLI,,0205767546,,SERVICE,A,,,,
AFISCO COSMETICS,CLOSER TO ABIDJAN BOYS PROVISION SHOP,,,BOLE,,,,SERVICE,A,,,,
AFISHA BAKERY,OPPOSITE ALHAJI ALAKABO'S HOUSE,,,BOLE,,0246176217,,INDUSTRY,A,,,,
AFISHA STORE,OPPOSITE ALHAJI ALAKABO'S HOUSE,,,BOLE,,0246176217,,SERVICE,A,,,,
AFUA TAILORING SHOP,OPPOSITE HOSPITAL,,,TINGA,,0242612264,,INDUSTRY,A,,,,
AGBADAGO PRIMARY SCHOOL,AGBADAGO FOREST ROAD,MARKET ROAD,AGBADAGO,AGBADAGO,"P. O.BOX 2, BOLE",0508665049,,SERVICE,A,,,,
AGBLEKAME D/A PRIMARY SCOOL,,,,JAMA,,,,SERVICE,A,,,,
AGRICULTURAL DEVELOPMENT BANK,ON THE RIGHTSIDE ON THE WA-TECHIMAN ROAD NEAR THECHURCH OF PENTECOST,,,BOLE,"C/O ADBI, BOLE",,customercare@agricbank.com,SERVICE,A,,,,
AGYA WUSU ELECTRICAL,OPPOSITE HIS MAJESTY GOLD GOLD BUING AGENT,ALONG BOLE BAMBOI ROAD,SISSALA LINE,BANDA NKWANTA,,0243115539,,SERVICE,A,,,,
AHMADIYA MOVEMENT,15M SOUTH TO BAMBOI TOWN MOSQUE,BOLE BAMBOI HIGH WAY,BAMBOI,BAMBOI,,0241908615,,SERVICE,A,,,,
AHMED AUTO MECHANIC SHOP,OPPOSITE SOLDIER'S BARACKS,,,BLE,,0244881337,,SERVICE,A,,,,
AHMED MUMUNI ENTERPRISE,ADJACENT R/C PRIMARY SCHOOL,,,BANDA NKWANTA,,0204006963,,SERVICE,A,,,,
AHOBRASIA FASHIONS,BAMBOI MARKET,,BAMBOI,BAMBOI,,0274546700,,INDUSTRY,A,,,,
AINU CHEMICALS SHOP,OPPOSITE THE MARKET,,,SIMPUAYIRI,,0200882644,,SERVICE,A,,,,
AISHA LAMIN'S STORE,AFTER NDC CAMP,,,BOLE,,0507369102,,SERVICE,A,,,,
AISHETA YUSSIF TRESTAURANT,NEAR BAMBOI CENTRAL MOSQUE,BOLE BAMBOI HIGH WAY,BAMBOI,BAMBOI,,0544928494,,SERVICE,A,,,,
AJAJO ENTERPRISE,OPPOSITE MORDEN LOOK SALOON,,,BOLE,,0247474201,,SERVICE,A,,,,
AJARA ADAMU PROVSION STORE,OPPOSITE BAMBOI D/A PRIMARY SCHOOL,BOLE BAMBOI HIGH WAY,BAMBOI,BAMBOI,,0246340620,,SERVICE,A,,,,
AJARA FOOD JOINT,BEHIND CHIEF PALACE,,,TINGA,,0248815954,,SERVICE,A,,,,
AJARABI ENTRPRISE,BEHIND GCB BUILDING,,,BOLE,,0243494333,,SERVICE,A,,,,
AJASS BROTHERS ENTERPRISE,OPPOSITE BAGAMA VENTURES,,,BANDA NKWANTA,,0244071445,,SERVICE,A,,,,
AJATA MALIK SHOP,JUNCTION WA STATION,,,BOLE,,0263241450,,SERVICE,A,,,,
AJATA ZAKARIA ENTERPRISE,INFRONT OF THE CHIEF PALACE,,,BANDA NKWANTA,,0245804969,,SERVICE,A,,,,
AJOA JABUNI DRINKING SPOT,ALONG THE BUI ROAD,BUI ROAD,CHIEF AREA,JAMA,,,,SERVICE,A,,,,
AJOA NESTA PROVISION STORE,NEAR JAMA CENTRAL MOSQUE,,,JAMA,,,,SERVICE,A,,,,
AKABA ENTERPRISE,IN THE CENTRAL MARKET,,,BOLE,,0245369243,,INDUSTRY,A,,,,
AKANBOM KUW,OPPOSITE THE PRIMARY SCHOOL,SAME ROAD WITH CHIBERINUA,BABATOR,BABATOR,,,,SERVICE,A,,,,
AKOS FASHION,"ON YOUR WAY TO BOSEC LEFT , ADJACENT THE KENKEY SELLER",,,BOLE,,,,INDUSTRY,A,,,,
AKOS TEA AND FOOD STORE,CLOSER TO VODAFONE TOWER,,,TINGA,,0241054580,,SERVICE,A,,,,
AKUA ENTERPRISE GYE NYAME,CLOSER TO THE APOSTOLIC CHURCH BABTOR,SAME ROAD TO CHIBERINUA,BABTOR,BABATOR,,0200863920,,SERVICE,A,,,,
AKWASSI TRADING CENTER,CLOSE  TO SERIPE DAKRUPE ROAD,SERIPE KABILMA ROAD,,DAKRUPE,,,,SERVICE,A,,,,
AL-IDRIS FASHION SHOP,IN THE MARKET,,,BOLE,,0274664224,,INDUSTRY,A,,,,
ALAKABO ENTERPRISE,,,BOLE,BOLE,"P.O.BOX 54, BOLE",,,SERVICE,A,,,,
ALASSKAM ENTERPRISE,ADJACENT THE CATHOLIC MISSION,,,BOLE,,0242546489,,SERVICE,A,,,,
ALASSKAM ENTERPRISE,OPPOSITE MISSIONARY HOUSE,,,BOLE,,0242346489,,SERVICE,A,,,,
ALEX BOROSUN ENTERPRISE,,,JAMA ROAD,JAMA,,,,SERVICE,A,,,,
ALEX'S PRIVISION STORE,CLOSE TO THE MAIN ROAD TO WARDS MANKUMA,,,BOGDAA,,,,SERVICE,A,,,,
ALHAJ SEIDU'S MOSQQUE,ALHAJ ACHAMPONG HOUSE BY THE ROAD,BOLE SANYO ROAD,,KIAPE,,,,SERVICE,A,,,,
ALHAJI AHMED EWURA LICENSED CHEMICAL SHOP,NEAR THE MAIN MOSQUE,,,TINGA,,0244713170,,SERVICE,A,,,,
ALHAJI IBRAHIM VENTURES,ALHAJI IBRAHIM MOSHIE'S HOUSE,,,BOLE,,0543143484,,SERVICE,A,,,,
ALHAJI MOSHI MOSQUE,KPARIBA,,,MANDARI,,0249622560,,SERVICE,A,,,,
ALHAJI MOSHI STORE,OPPOSITE ALHAJI MOSHI HOUSE,,,MANDARI,,0249622560,,SERVICE,A,,,,
ALHAJI SALIA PROVISTIONS,NEAR BAMBOI CENTRAL MOSQUE,BOLE BAMBOI HIGH WAY,BAMBOI,BAMBOI,,0244460875,,SERVICE,A,,,,
ALHAJI SULEMANA ADAMS,AROUND THE FIRE SERVICES,,,BOLE,,0246633041,,SERVICE,A,,,,
ALHAJI YUSSIF ENTERPRISE,ADJACENT THE VULGANIZER ON THE KUMASI ROAD,,,BOLE,,0240769452,,SERVICE,A,,,,
ALHASSAN AJARA SHOP,OPPOSITE ABRAHAM LINCON,,,TINGA,,0248460246,,SERVICE,A,,,,
ALHASSAN ENTERPRISE,10 METERS AWAY FROM MOSQUE OPPOSTE,IN BETWEEN BOLE BAMBOI ROAD,LOBIS LINE,BANDA NKWANTA,"P. O.BOX 22, BOLE",0547224008,,SERVICE,A,,,,
ALHASSAN ENTERPRISE,OPPOSITE MESSIONARY HOUSE,,,BOLE,,0246266134,,SERVICE,A,,,,
ALHASSAN ENTERPRISE,OPPOSITE ST. KIZITO SCHOOL,,,BOLE,,0506671870,,SERVICE,A,,,,
ALHASSAN IMORO PROVISION STORE,,,,JOGBOI,,,,SERVICE,A,,,,
ALHASSAN MOHAMMED CHEMICALS STORE,ON THE KUMASI ROAD ADJACENT CHORIBANG JUNCTION,,,BOLE,,0275757024,,SERVICE,A,,,,
ALHASSAN TRADING ENTERPRISE,INFRONT OF THE PARK OF BANDA NKWANTA,ALONG BOLE BAMBOI ROAD,POLY DAGAABA LINE,BANDA NKWANTA,"P. O.BOX 21, BOLE",,,SERVICE,A,,,,
ALHASSAN UMAR ENTERPRISE,ADJACEENT R/C PRIMARY SCHOOL,ALONG BOLE BAMBOI ROAD,PAUL KURA,BANDA NKWANTA,"P. O.BOX 2, BOLE",0544092825,,SERVICE,A,,,,
ALHASSAN ZIBLILA STORE,OPPOSITE ABRAHAM LINCON,,,TINGA,,0543154002,,SERVICE,A,,,,
ALI BARI PROVISION SHOP,NEAR THE BAMBOI REVENUE COLLECTION OFFICE,BOLE BAMBOI HIGH WAY,BAMBOI,BAMBOI,,0505132111,,SERVICE,A,,,,
ALI ENTERPRISE,ADJACENT JAMA JUNCTION,ALONG BOLE BAMBOI ROAD,PANTRA LINE,BANDA NKWANTA,"P. O.BOX 2, BOLE",,,SERVICE,A,,,,
ALI MOHAMMED BUSINESS CENTRE,OPPOSITE JAPAN BASE,,,BANDA NKWANTA,,0507714315,,SERVICE,A,,,,
ALI MOHAMMED GOLD BUYING CENTRE,OPPOSITE THE MARKET,,,BANDA NKWANTA,,0506181186,,SERVICE,A,,,,
ALI'S BAR,SANYO DAGAABA MARKET,,,SANYO DAGAABA,,,,SERVICE,A,,,,
ALIMA ABUBAKARI HEAD DRESSING SHOP,BEHIND THE CHURCH,,,TINGA,,0248565424,,SERVICE,A,,,,
ALKABO'S ENTERPRISE,ADJACENT THE FILLING STATION,,,BOLE,,0242215328,,SERVICE,A,,,,
ALKAIRU HUSEINI ENTERPRISE,ADJACENT MTN OFFICE BOLE,,,BOLE,,0243689574,,SERVICE,A,,,,
ALLAH IS GREAT ENTERPRISE,ADJACENT NO LIE BUILDING,,,BOLE,,0249114793,,SERVICE,A,,,,
ALLAH ON WHOM I DEPEND SPECIAL FOOD,IN THE MARKET NEAR HAMZA GRINDING MILL,,,BOLE,,0242104105,,SERVICE,A,,,,
ALURA'S BICYCLE PARTS,ADJACENT KUPO'S HOUSE,,,MANDARI,,0273477576,,SERVICE,A,,,,
AMA DONKOR FASHION,MANGO LANE OPPOSITE PLANNER Q.,,,BOLE,,0243892653,,INDUSTRY,A,,,,
AMADU GRINDING MILL,CLOSE TO GALAMSEY LINE,GALAMSEY LINE,,DAKRUPE,,0540188450,,INDUSTRY,A,,,,
AMADU KENEL IDISAH MOSQUE,CLOSER TO AREA COUNCIL,,,MALEWU,,0543651869,,SERVICE,A,,,,
AMANDE EKE STORE,OPPOSITE DERI BAR,,,SIMPUAYIRI,,0549395664,,SERVICE,A,,,,
AMARIA BANKU WURA,OPPOSITE CHRIST APOSTOLIC CHURCH,,,TINGA,,,,SERVICE,A,,,,
AMASCO BOUTIQUE,OPPOSITE METHODIST JUNIOR HIGH SCHOOL,,,BOLE,,0244896662,,SERVICE,A,,,,
AMIN A IBRAHIM PROVISION SHOP,CARGO LINE,,,WASSIPE,,,,SERVICE,A,,,,
AMINA ABDULAI FASHION SHOP,IN THE MARKET,,,BOLE,,0242706655,,INDUSTRY,A,,,,
AMINA BEAUTY SALON,AFTER SOLDIER CAMP,,,BOLE,,0541584955,,SERVICE,A,,,,
AMISHIRA TOMAZEEY DRINKING SPOT,ADJACENT KWESI CHARLES ENTERPRISE,,,BANDA NKWANTA,,0542093921,,SERVICE,A,,,,
AMOS BOROKUU VENTURES,INFRONT OF POST OFFICE,,,BOLE,,0203790222,,SERVICE,A,,,,
AMOS VENTURES,MANDARI LORRY STATION,,,MANDARI,,0246330456,,SERVICE,A,,,,
AMUNIBAAFE ENT.,"INFRONT OF THE COMMUNITY CENTER, BOLE",,BOLE,BOLE,"P.O.BOX 96, BOLE",,,SERVICE,A,,,,
ANAJU YE DEE,BALE LORRY STATION,,,BALE,,0274506564,,SERVICE,A,,,,
ANNI HARDWARE SHOP,NEAR CHIEF'S PALACE,JAMA ROAD,,JAMA,,,,SERVICE,A,,,,
ANSUMAH TOUDEKUM ENTERPRISE,ADJACENT CHARLES ENTERPERISE,,,BANDA NKWANTA,,0242101441,,SERVICE,A,,,,
ANTHONY FOFIE ENTERPRISE,"OPPOSITE CHIEF'S PALACE, JAMA",,JAMA-TECHIMAN,JAMA-TECHIMAN,"P.O. BOX 5, JAMA-TECHIMAN",,,INDUSTRY,A,,,,
ANTHONY'S BAR,SECOND STORE AFTER THE DAMM,KUMASI ROAD,,SARIPE GBONGBON,,,,SERVICE,A,,,,
ANTURO HEANYENA PROVISION STORE AND BAR,CLOSER TO THE MARKET,,,DAGATIYIRI,,0205689962,,SERVICE,A,,,,
APUUH ENTERPRISE,NEAR SADISCO RESTAURENT,BOLE BAMBOI HIGH WAY,BAMBOI,BAMBOI,,0274149436,,SERVICE,A,,,,
ARAMATA ENTERPRISE,NEAR B.A SAAKA HOUSE,,,BOLE,,0540216427,,SERVICE,A,,,,
ARAMATA'S STORE,OFF BOLE-SAWLA ROAD,,,MANKUMA,,0272621909,,SERVICE,A,,,,
ARIJATU BEAUTY SALON,CLOSED TO GALAMSEY LINE,GALAMSEY LINE,,DAKRUPE,,,,SERVICE,A,,,,
AROZA ENTERPRISE,IN THE MARKET,,,BOLE,,0276499276,,SERVICE,A,,,,
ASADABEN SPOT,NORTH TO WENCH RURAL BANK,BOLE BAMBOIROAD,BAMBOI,BAMBOI,,0549377921,,SERVICE,A,,,,
ASATA HAIR SALON,INFRONT OF ZAKA PAALA,,,MANDARI,,0247210895,,SERVICE,A,,,,
ASEIDU VENTURES,BEHIND THE POST OFFICE,,,BOLE,,0242144686,,SERVICE,A,,,,
ASEW'S STORE,BY THE MOSQUE,BOLE NTERESO ROAD,,GGENFU,,,,SERVICE,A,,,,
ASHAWA ELECTRICALS SHOP,AROUND THE ENTRANCE TO UNION CENTRE,,,BOLE,,0249241852,,SERVICE,A,,,,
ASSA GUEST HOUSE,AROUIND THE FIRE SERVICES,,,BOLE,,0244620266,,SERVICE,A,,,,
ASSEMBLIES OF GOD CHURCH GHANA,CHIEF'S AREA,CHIEF'S AREA,BAMBOI,BAMBOI,,0244533652,,SERVICE,A,,,,
ASWAT ALRAB GOLD,THESAME BUILDING WITH BILL BETTER,ALONG JAMA ROAD,PANTRA LINE,BANDA NKWANTA,"P. O.BOX 1283, TAMALE",0243141227,,SERVICE,A,,,,
ATONGO LULEGA MOTOR BIKE SHOP,NEAR ST ALEXANDER PRIMARY SCHOOL,BOLE BAMBOI HIGH WAY,BAMBOI,BAMBOI,,0545199813,,SERVICE,A,,,,
ATTAH KWASI DRINKING SPOT,CLOSER TO CAC,,,SIGNYE AKURA,,0240559575,,SERVICE,A,,,,
ATTAWA FASHION SHOP,ADJACENT SADIK MOTOR'S,,,BOLE,,0502963960,,INDUSTRY,A,,,,
AUBA CLOTTHING SHOP,GALAMSEY LINE,GALAMSEY LINE,,DAKRUPE,,,,SERVICE,A,,,,
AUDIT SERVICE,BEHIND THE DISTRICT FINANCE OFFICER,,,BOLE,,0262606498,,SERVICE,A,,,,
AUGUSTINE CARPENTRY,BEHIND MR. KWAKU HOUSE,,,SIMPUAYIRI,,0542622752,,INDUSTRY,A,,,,
AUGUSTINE GRINDING MILL,AGBADAGO D/A PRIMARY SCHOOL,SAME ROAD TO THE MARKET,GAPARI-AGBADAGO,GAPARI,,,,INDUSTRY,A,,,,
AUGUSTINE STORE,AT THE LEFT HAND SIDE OF THE JUNCTION,KUMASI ROAD,DAKRUPE JUNCTION,SERIPE,,,,SERVICE,A,,,,
AUTHO BASE LIMITED,SOLDIER CAMP,,,BOLE,,0244881337,,SERVICE,A,,,,
AWAL SHOP,OPPOSITE QUI STATION,,,TINGA,,0241777241,,SERVICE,A,,,,
AWIASE CHALEY PITO BASE AND BAR,AGBADAGO MARKET,,AGBAGADO,AGBAGADO,,0541347629,,SERVICE,A,,,,
AWUSI ENTERPRISE,OPPOSITE THE MESSIONARY HOUSE,,,BOLE,,0246223745,,SERVICE,A,,,,
AWUSI'S PROVISION STORE,MANDARI LORRY STATION,,,MANDARI,,0541493564,,SERVICE,A,,,,
AYAA COLD STORE,BEHIND MANDARI CHIEF PALACE,,,MANDARI,,,,SERVICE,A,,,,
AYISHA FASHION AND DESIGN CENTRE,DIRECTLY BEHIND THE CENTRAL MOSQUE,,,BOLE,,0245850219,,INDUSTRY,A,,,,
AYISHA FOOD BAR,BEHIND WURA HOUSE,,,TINGA,,0549091156,,SERVICE,A,,,,
AYISHA SOFT AND ENERGY ENTERPRISE,ADJACENT HARUNA ENTERPRISE,,,BOLE,,0503084016,,SERVICE,A,,,,
AYISHATU ALHASSAN STORE,OPPOSITE CENTRAL MOSQUE,,,TINGA,,0248430448,,SERVICE,A,,,,
AZAA-NSUNGERA DRESS MAKING SHOP,AMORO TIILA'S HOUSE,,,MANDARI,,0249793898,,INDUSTRY,A,,,,
AZAASUM DRINKING SPOT,300M TO THE BAMPEWA D/A PRIMARY SCHOOL,BABATO ROAD,,KALFA YILI,,0507455248,,SERVICE,A,,,,
AZUMA AMIDU LIMITED,AROUND THE POST OFFICE,,,BOLE,,0261373290,,SERVICE,A,,,,
B. FASHION SALON,INSIDE UNION CENTRE,,,BOLE,,0241151957,,INDUSTRY,A,,,,
BAAFADA TAILORING SHOP,ADJACENT THE POLICE STATION,,,BOLE,,0543108563,,INDUSTRY,A,,,,
BABA ADAM ENTERPRISE,OPPOSITE PUSHER ENTERPRISE,ALONG BOLE BOLE BAMBOI ROAD`,PAUL KURA,BANDA NKWANTA,"P. O.BOX 21, BOLE",0547099322,,SERVICE,A,,,,
BABA ALHAJI WASHING BAY,AFTER LAST FILLING STATION,,,TINGA,,0541633449,,SERVICE,A,,,,
BABA'S STORE,INSIDE THE MARKET,,,KAKIASI,,,,SERVICE,A,,,,
BABACHILENUO DRINKING SPOT,CLOSER TO MTN TOWER,,,SIMPUAYIRI,,0541633420,,SERVICE,A,,,,
BABANGNUBA JUDE PROVISION STORE,,NEAR CHIEF PALACE,,JAMA,,,,SERVICE,A,,,,
BABATOR D/APRIMARY SCHOOL,ADJACENT EVANGELICAL CHURCH,SAME WITH CHIBERINUA,BABATOR,BABATOR,"P. O.BOX 2, BOLE",,,SERVICE,A,,,,
BABATOR EVANGELICAL APOSTOLIC CHURCH,ADJACENT BABATOR D/A PRIMARY,AFTER BAMBDI CHIBERINUA ROAD,BABATOR,BABATOR,,0244316922,,SERVICE,A,,,,
BABAYANK MOTOR SPARE PARTSS STORE,NORTH TO THE WENCHI RURAL BANK,BOLE BAMBOI ROAD,BAMBOI,BAMBOI,,0248903504,,SERVICE,A,,,,
BABONA JANET ENTERPRISE,OPPOSITE KURABASO PRIMARY SCHOOL,,,BOLE,,0542390187,,SERVICE,A,,,,
BADU SAAPEMA PHOTO STUDIO,ADJACENT ENTERPRISE GHANA,,,BANDA NKWANTA,,0202344610,,SERVICE,A,,,,
