ESTABLISHMENT NAME,EXACT LOCATION,STREET ADDRESS,SUBURB,TOWN NAME,POSTAL ADDRESS,PHONE,EMAIL,SECTOR,SIZE,
AFORUKN ANAMNYA GRINDING MILL,BY THE WIAGA DAM,WIAGA,YIPALA,WIAGA YIPALA,,,,INDUSTRY,A,
AFRICAN BASE,ADJACENT ZEBRA BAR,NAVRONGO WIAGA ROAD MAIN STRERTS,ABILIYERI,SENDEMA CENTRAL,,0549129882,,SERVICE,A,
AGAMBASI ENTERPRISE,OPPOSITE PRAISE THE LORD ENTERPRISE,SUWARESA NDAASA ROAD,SUWARINSA NDAASA,SENDEMA CENTRAL,,0242928399,,SERVICE,A,
AGERIBA AZONG GRINDING MILL,KADEMA ZAMSA ROAD ON THE RIGHT SIDE OF THE ROAD,KADEMA ZAMSA ROAD,BANYANGSA,KADEMA-BANYANGSA,,0547850074,,INDUSTRY,A,
AGNES PROVISION SHOP,AGABASIGUU ON YOUE LEFT HAND SIDE FROM NAVRONGO,GHUCHULIGA NAVRONGO ROAD,NANJOPUNG AYISIYERI,NANJOPIM ATINNAAB-YEAR,,0544282020,,SERVICE,A,
AGNES STORE,OLD SCHOOL,GBEDEMA FUMBISI ROAD,ZONGO,GBEDEMA-ZONGO,,0547409577,,SERVICE,A,
AGRICULTURE DEPARTMENT,OPPOSITE DISTRICT ASSEMBLY,SANDEMA WIAGA ROAD,ABEL YERI,SENDEMA CENTRAL,"P. O. BOX 3, SANDEMA",0208424918,,SERVICE,A,
AJOFOR SPARE PARTS SHOP,ADJACENT BUCO BANK,BUCO BANK STREETS,ABILIYERI LORRY PARK,SENDEMA CENTRAL,,0547078265,,SERVICE,A,
AKAANA LAD ENTERPRISE,OPPOSITE ST CHARLSE CHEMICAL SHOP,NAVRONGO WIAGA ROAD,ABILIYERI,SENDEMA CENTRAL,,0243259632,,SERVICE,A,
AKAFAYA BAR,OLD MARKET,KADEMA CHAMSA ROAD,KPIKPALUK,KADEMA-KPIKPALUK,,,,SERVICE,A,
AKAG YERI PRMARY SCHOOL,NEAR AGAMUYA YERI,SANDEMA TO KORRI AKAG YERI ROAD,AKAG YERI,KORRI AKAG-YERI,"P. O. BOX 10, SANDEMA",0243430341,,SERVICE,A,
AKALIJIIK METAL WELDING SHOP,AKUMYEMI HOUSE,SANDEMA WIAGA ROAD,SANDEMA TOWNN,SENDEMA CENTRAL,,0505962207,,INDUSTRY,A,
AKANGULIYERI DRINKING BAR,ADJACENT AMOK DRINKING BAR,WIAGA SANDEMA ROAD,YISOBSA,WIAGA CENTRAL,,,,SERVICE,A,
AKANKO VIDA DRESSMAKING SHOP,WIAGA GUNSI MARKET,SADEMA FUMBISI ROAD,YISOBSA,WIAGA CENTRAL,,0242008967,,INDUSTRY,A,
AKANMIGBAYAW STORE,ADJACENT KALIJISA PRMARY,KALIJISA CHIANA ROAD,KALIJISA ADUEA YERI,KALIJISA ADUEAYERI,,,,SERVICE,A,
AKANMORI PITO BAR,OPPOSITE HAPPY DRINKING SPOT,MARKET SQUARE ROAD,AZUGYERI,CHUCHULIGA CENTRAL,,0548476991,,SERVICE,A,
AKANSALIMBA STORE,ABASANA YERI BEHIND SANDEMA PREPARATORY SCHOOL,SANDEMA KORRI AKAG YERI ROAD,AWUSUYERI,SANDEMA AWUSUYERI,,0543838883,,SERVICE,A,
AKANTABA SIMON DRINKING SPORT,200M ADJACENT KALIJISA CHPS COMPOUND,KALIJISA CHIANA ROAD,ADUEA YERI,KALIJISA ADUEAYERI,,,,SERVICE,A,
AKANTUESIBA EVLYNE,HOSPITAL JUNCTION,SANDEMA WIAGA ROAD,ABILIYERI,SENDEMA CENTRAL,,0249621502,,SERVICE,A,
AKANVARI GIFTY SALON,BY THE FERTILIZER HOUSE NEAR THE KADEMA SCHOOL,THE KADEMA SCHOOL ROAD,BANYANGSA-LANBORINGSA,KADEMA-BANYANGSA,,0546558554,,SERVICE,A,
AKAVAYING ASSIBI TAILORING SHOP,BY THE FERTILIZER HOUSE,WIAGA KADEMA ROAD,BANYANGSA LAMBORINGSA,KADEMA-BANYANGSA,,0246623191,,INDUSTRY,A,
AKOOTI GRINDING MILL,BESIDE MEET ME THERE IN SPOT,MARKET SQUARE ROAD,AZUGYERI,CHUCHULIGA CENTRAL,,,,INDUSTRY,A,
AKOOTI ROSE ENTERPRISE,ADJACENT NAMONSA CHPS COMPOUND,ACHAANYERI NAMONSA ROAD,NAMONSA CENTRAL,NAMONSA CENTRAL,,,,SERVICE,A,
AKOS AKALIYA'S HAIR DRESS SALON,MARKET SQUARE,MARKET ROAD,YESOBSA,WIAGA-YEMONSA,,,,SERVICE,A,
AKOS HAIR DRESSING SALON,OPPOSITE IVA DRINKING BAR,ALONG THE MARKET ROAD,YISOBSA,WIAGA-YEMONSA,,0542112747,,SERVICE,A,
AKOSUA STORE,IN THE MARKET,MARKET ROAD,MARKET ABEL YERI,SENDEMA CENTRAL,,0540835523,,SERVICE,A,
AKUA SEWING SHOP,BEHIND COOL BASE,MARKET SQUARE ROAD,AZUGYERI,CHUCHULIGA CENTRAL,,0248270650,,INDUSTRY,A,
AKUNKUAKLIE DRESSMAKING SHOP,OPPOSITE ST. CHARLES CHEMICAL SHOP,BUCO BANK AREA,ABILIYERI,SENDEMA CENTRAL,,0541907059,,INDUSTRY,A,
ALAM JUNIOR HIGH SCHOOL,,,BALANSA,SENDEMA CENTRAL,"P. O. BOX 10, SANDEMA",0506230934,,SERVICE,A,
ALAM PRIMARY SCHOOL,BY THE BALANSA SUB-CHIEF HOUSE,SADEMA SINIENSI ROAD,BALANSA,SENDEMA CENTRAL,"P. O. BOX 10, SANDEMA",0207622861,,SERVICE,A,
ALANG JUNIOR HIGH SCHOOL,"ALANG JUNIOR HIGH SCHOOL, NANJOPIM",NAVRONGO CHUCHULIGA ROAD,NANJOPIM,NANJOPIM ATINNAAB-YEAR,"P. O. BOX 10, SANDEMA",0200601309,,SERVICE,A,
ALANG PRIMARY SCHOOL,ALANG PRIMARY SCHOOLS,NAVRONGO GHUCHULIGA ROAD,ATINNAABYERA,NANJOPIM ATINNAAB-YEAR,"P. O. BOX 10, SANDEMA",0246804266,,SERVICE,A,
ALHAJI IBRAHIM HOUSE MOSQUE,IBRAHIM'S HOUSE,NAVRONGO WIAGA ROAD,SANDEMA TOWN,SENDEMA CENTRAL,,,,SERVICE,A,
ALI PROVISION SHOP,NEAR BADOMSA,WIAGA KADEMA ROAD,BACHINSA,SINYANSA BACHINSA,,0208372008,,SERVICE,A,
ALIMATU TAILORING SHOP,FROM PRESBY CBR BUSINESS CENTER TO AGELIK HOUSE,PRESBY CBR ROAD,SANDEMA TOWN,SENDEMA CENTRAL,,0546279183,,INDUSTRY,A,
ALONGA YERI PENTECOSTAL CHURCH,800M BEHIND CHIOK PRIMARY SCHOOL,ALONGA YERI STREET,CHIOK ALONGA YERI,CHIOK ALONGA-YERI,"P. O. BOX 20, WIAGA",0243317769,,SERVICE,A,
ALONGAYERI PENTECOSTAL CHURCH,ABAGAAYERI OPPOSITE,ANGELE YERI YISOBSA ROAD,CHIOK ALONGAYERI,WIAGA CHIOK-ANPAYERI,,0547960813,,SERVICE,A,
ALWAYS GIVE THANKS TO ALLAH ELECTRICAL SHOP,ADJAACENT BUCO BANK,BUCO BANK AREA,ABILIYERI,SENDEMA CENTRAL,,0207377424,,SERVICE,A,
AMA ABURUYANLIE STORE,ADJACENT NO HURRY IN LIFE,SANDEMA NAVRONGO,MARKET SQURE,SENDEMA CENTRAL,,,,SERVICE,A,
AMA SEWING SHOP,OPPOSITE COOL BASE,MARKET SQUARE ROAD,AZUGYERI,CHUCHULIGA CENTRAL,,0548434191,,INDUSTRY,A,
AMAACHAAB DRINKING SPOT,OPPOSITE BILINSA BOYS ENTERPRISE,SANDEMA NAVRONGA ROAD,BILIMONSA,BILINSA-BILIMONSA,,,,SERVICE,A,
AMAACHAAB WELDING SHOP,OPPOSITE CONIFAH GUEST HOUSE,SANDEMA WIAGA ROAD,SUWARENSA NDAASA,SENDEMA CENTRAL,,0547499724,,INDUSTRY,A,
AMAACHAB CLOTHING STORE,NEAR IBRAHIM'S HOUSE,NAVRONGO WIAGA ROAD,SANDEMA TOWN,SENDEMA CENTRAL,,0249288484,,SERVICE,A,
AMAACHAB DRINKING SPOT,WIAGA ZUEDEMA JUNCTION,ZUEDEMA MUTEENSA ROAD,MUTEENSA,SINYANSA MOTEESA,,0242875543,,SERVICE,A,
AMAACHAB DRINKING SPOT,BY THE TEACHERS QUARTERS ALSO NEAR THE PRIMARY SCHOOL,THE PRIMARY SCHOOL ROAD,BANYANSA,KADEMA-BANYANGSA,,0243579803,,SERVICE,A,
AMAGWEN AKANWEPAGSI,SINIENSI GUUTA MARKET,SANDEMA SINIENSI ROAD,SINIENSI GUUTA,SENDEMA CENTRAL,,,,SERVICE,A,
AMANKWA GLORY ENTERPRISE,IN FRONT OF FWOL MARKET,MARKET SQUARE ROAD,AZUGYERI,CHUCHULIGA CENTRAL,,0246724930,,SERVICE,A,
AMANKWA GLORY ENTERPRISE,BESIDE AYOMALIE PROVION STORE,MARKET SQUARE ROAD,AZUEYERI,CHUCHULIGA CENTRAL,,0243641152,,SERVICE,A,
AMASIA'S SPOT,ADJACENT SOSAYI'S DRINKING SPOT,ABUYERI ROAD,ABILIYERI,SENDEMA CENTRAL,,,,SERVICE,A,
AMAZING GRACE DRINKING SPOT,INFROUT OF SLAUGTER HOUSE NEAR PALOMA,PALOMA ROAD,ZONGO,SENDEMA CENTRAL,,0203215540,,SERVICE,A,
AMINA MOTOR SPARE PARTSS STORE,MARKET STORES,SANDEMA MARKET ROAD,SANDEMA MARKET,SENDEMA CENTRAL,,0547254268,,SERVICE,A,
AMOAK TRADING STORE,AISSAH BOLLA,SANDEMA MARKET ROAD,SANDEMA MARKET,SENDEMA CENTRAL,,,,SERVICE,A,
AMOKWA GLORY ENTERPRICE,MARKET STORE FROM THE YAM MARKET,SANDEMA MARKET ROAD,SANDEMA MARKET,SENDEMA CENTRAL,,0249137704,,SERVICE,A,
AMOS BARBARING SHOP,SANDEMA MARKET STORES BY NO HURRY IN LIFE,SANDEMA MARKET ROAD,SANDEMA MARKET,SENDEMA CENTRAL,,,,SERVICE,A,
AMWAGSI CLEMENT SHOP,ADJACENT SANDEMA POST OFFICE,SANDEMA COMMUNITY CENTRE ROAD,ABILIYERI LORRY PARK,SENDEMA CENTRAL,,0542746502,,SERVICE,A,
AMWKOMBA GRINDING MILL,NEAR THE MARKET,GBEDEMA FUMBISI ROAD,GBEDEMA ZONGO,GBEDEMA-ZONGO,,0202426650,,INDUSTRY,A,
AN ZULPHAR COMPANY,OPPOSITE VODAFONE MAST,SANDEMA WIAGA ROAD,ABILIYERI,SENDEMA CENTRAL,,0549764360,,SERVICE,A,
ANAAKUM YERI GRINDING MILL,BY AGELIK HOUSE,KOBDEMA ROAD,SANDEMA TOWN,SENDEMA CENTRAL,,,,INDUSTRY,A,
ANAAM ENTERPRISE,YISOBSA CHIOK ROAD FIRST BRIDGE MARKET CENTRE,YISOBSA CHIOK ROAD,YISOBSA,WIAGA-YEMONSA,,0204808449,,SERVICE,A,
ANALIE COSMETIC SHOP,OPPOSITE BUILSA COMMUNITY BANK,SANDEMA NAVRONGO ROAD,ABIL YERI,SENDEMA CENTRAL,"P. O. BOX 3, SANDEMA",0242049230,,SERVICE,A,
ANAMKUM JUNIOR HIGH SCHOOL,OPPOSITE ANAMKUM PRIMARY,KOBDEMA CHIANA ROAD,KOBDEMA,SANDEMA KOBDEMA,"P. O. BOX 10, SANDEMA",,,SERVICE,A,
ANAMKUM KINDERGARTEN/PRIMARY SCHOOL,OPPOSITE ANAMKUM JUNIOR HIGH SCHOOL,KOBDEMA CHIANA ROAD,KOBDEMA,SANDEMA KOBDEMA,,,,SERVICE,A,
ANIAKDEM DRINKING SPOT,300M BEFORE CHIOK PRIMARY SCHOOL,WIAG YISOBSA TO CHIOK JHS ROAD,AYARIK YERI,CHIOK ALONGA-YERI,,0247803664,,SERVICE,A,
ANKISIBA MERCY CONTAINER,IN THE KADEMA MARKET,KADEMA MARKET ROAD,BANYANGSA-LANBORINGS,KADEMA-BANYANGSA,,0543754971,,SERVICE,A,
ANTIE MARY PITO,TWO HUNDRED METRES AWAY FROM THE MAIN STREET,CHUCHULAGA CHIEFS PALACE ROAD,AZUGYERI,CHUCHULIGA CENTRAL,,,,INDUSTRY,A,
ANURILIWANI DRINKING SPOT,NANJOPUNG ABILIGUU ON YOUR HAND FROM NAVRONGO,CHUCHULIGA NAVRONGO ROAD,NANJOPUNG,NANJOPIM ATINNAAB-YEAR,,0546651701,,SERVICE,A,
ANYETIYAN DRINKING SPOT,AKUMYEMI HOUSE IN SANDEMA TOWN,SANDEMA FUMBISI ROAD,SANDEMA TOWN,SENDEMA CENTRAL,,0502688680,,SERVICE,A,
AORGAZ SERVICE STATION,OPPOSITETHE BIBLE CHURCH OF AFRICA,SANDEMA WIAGA ROAD,ABILIYERI,SENDEMA CENTRAL,"P. O. BOX 6, SANDEMA",0200967403,,SERVICE,A,
APAADU DANIEL PROVISION STORE,APII'S HOUSE,NAWASA CHONDEMA ROAD,GUUTA,CHONDEMA GUUTA (AKORAYERA),,0241666853,,SERVICE,A,
APAAREM MASA DRESS MAKING SHOP,ADJACENT POLICE STATION,CHIEFS PALACE ROAD,ABELIYIRI,SENDEMA CENTRAL,,0240077120,,INDUSTRY,A,
APAAWEN ENTERPRISE (NASONA OIL),OPPOSITE WHISKY BASE SANDEMA,,SANDEMA,SANDEMA CENTRAL,"P. O. BOX 47, SANDEMA",,,SERVICE,A,
APAAWEN FILLING STATION NASONA,OPPOSITE WISKEY PITO BASE,ALONG NAVRONGO WIAGA ROAD,ABELIYIRI,SENDEMA CENTRAL,"P. O. BOX 47, SANDEMA",0205596017,,SERVICE,A,
APASIBA CHOP BAR,IN FRONT OF AKATUGU STORE,MARKET SQUARE ROAD,AZUGYERI,CHUCHULIGA CENTRAL,,0248611812,,SERVICE,A,
APASTOR GRINDING MILL,ZONGO BEHIND SL HOUSE,PALOMA NYANSA ROAD,ZONGO,SENDEMA CENTRAL,,0249777542,,INDUSTRY,A,
ASI DRESS MAKING SHOP,BEHIND CHIEF'S PALACE MARKET SQUARE,CENTRAL MARKET ROAD,WIAGA YISOBSA,WIAGA CENTRAL,,0241799108,,INDUSTRY,A,
ASIA'S PROVISION SHOP,ADJACENT SALIFU'S HOUSE,SANDEMA NAVRONGO ROAD,ABILIYERI,SENDEMA CENTRAL,,0249545800,,SERVICE,A,
ASIAKUM ENT,ADJACENT NASONA FILLING STATION,NAVRONGO WIAGA ROAD,ABELIYIRI,SENDEMA CENTRAL,"P. O. BOX 10, SANDEMA",0242817255,,SERVICE,A,
ASSEMBLIES OF GOD CHURCH,SINIENSI TOWN OPPOSITE PENTECOST CHURCH,SANDEMA SINIENSI ROAD,SINIENSI GUUTA,SENDEMA CENTRAL,"P. O. BOX 38, SANEDEMA",0242683343,,SERVICE,A,
ASSIB DRINKING SPOT,WORKERS CANTEEN,PRESBY CBR STATION ROAD,SANDEMA TOWN,SENDEMA CENTRAL,,0206629894,,SERVICE,A,
ASSIBI AKONG PORRIDGE SHOP,OPPOSITE RAPHMA STOP OVER DRINKING SPOT,SANDEMA WIAGA ROAD,SUWARENSA NDAASA,SENDEMA CENTRAL,,,,SERVICE,A,
ASSIBI TAILORING SHOP,BY PALOMA RESTURANT,PALOMA ROAD,SANDEMA MARKET,SENDEMA CENTRAL,,0242714199,,INDUSTRY,A,
ASSIBI'S CHOPIBAR,ABU YERI,EIGTEENTA/ABU YERI,ABILIYERI LORRY PARK,SENDEMA CENTRAL,,0242718257,,SERVICE,A,
ATIIMDEM TAILORING SHOP,MARKET SQUARE,YISOBSA CHIUK ROAD,YISOBSA,WIAGA-YEMONSA,,0248324483,,INDUSTRY,A,
ATIKA YAM STORE,MARKET STORES,SANDEMA MARKET ROAD,SANDEMA MARKET,SENDEMA CENTRAL,,0246327434,,SERVICE,A,
ATOOBEY CHRISTPPHER GRINDING MILL,ATIDUMBA'S HOUSE,MARKET SQUARE ROAD,AZUGYERI,CHUCHULIGA CENTRAL,,0246258267,,INDUSTRY,A,
AUGUSTINE CORN MILL,MARK'S HOUSE REFUSE DUMP NEAN THE MARKET,SANDEMA NAVRONGO ROAD,AZUGUYERI,CHUCHULIGA CENTRAL,,0266767211,,INDUSTRY,A,
AUMAH BEAUTY SALON,BY ASUEMI HOUSE BEFORE THE HOSPITAL FENCE,SINENSI ROAD,BALANSA,SENDEMA CENTRAL,,0246909658,,SERVICE,A,
AURTHA PRIMARY SCHOOL,ADJCENT WIAGA SENIOR HIGH SCHOOL,SADEMA FUMBISI ROAD,YISOBSA,WIAGA CENTRAL,"P. O. BOX 48, SANDEMA",,,SERVICE,A,
AVANAB PITO BASE,ABOUT 300M FROM NAWASA ON YOUR LEFT HAND SIDE,NAWASA CHONDEMA ROAD,AWULANSA GUUTA,AWULANSA-GUUTA,,0502635848,,SERVICE,A,
AVNTIE FAUSTY ENTERPRISE,OPPOSITE PETER'S GRINDING MILL,LORRY PARK,ABILIYERI LORRY PARK,SENDEMA CENTRAL,,0246277302,,SERVICE,A,
AWAAB RICHARD,100M OPPOSITE SINIENSI HEALTH CENTRE,SANDEMA SINIENSI ROAD,SINIENSI GUUTA,SENDEMA CENTRAL,,0209544117,,INDUSTRY,A,
AWANGCHAAB NAAB YERI GRINDING MILL,AWANGCHAAB NAAB YERI,YISOBSA ASIYUOK YERI ROAD,CHIOK YERI ROAD,CHIOK ALONGA-YERI,"P. O. BOX 20, WIAGA",0203023164,,INDUSTRY,A,
AWARIKARO STORE,OPPOSITE AFOKO PRIMARY SCHOOL,SANDEMA CHUCHILIGA ROAD,BILINSOBSA LOWER,BILINSA-BILIMONSA,,0202238504,,SERVICE,A,
AWENNALIM ENTERPRISE,BESIDE AKATUGU STORE ON YOUR RIGHT,MARKET SQUARE ROAD,AZUGYERI,CHUCHULIGA CENTRAL,"P. O. BOX 192, SANDEMA",0242211823,,INDUSTRY,A,
AWENTIRM FASHION,IN FRONT OF ATUDUBA HOUSE,MARKET SQUARE ROAD,AZUGYERI,CHUCHULIGA CENTRAL,,0245178463,,INDUSTRY,A,
AWIAKLIES DRESSMAKING SHOP,RIGHT ADJACENT SANDEMA COMMUNITY CENTRE,SANDEMA COMMUNITY CENTRE,ABILIYERI LORRY PARK,SENDEMA CENTRAL,,0249149727,,INDUSTRY,A,
AWUDU WELDING SHOP,NEAR OR BY THE CATHOLIC CHURCH,SANDEMA CATHOLIC CHURCH ROAD,BALANSA,SENDEMA CENTRAL,,0208777243,,INDUSTRY,A,
AWUGYINLIE ENTERPRISE,OPPOSITE ABUTENG YERI,ABIL YERI KORI ROAD,PUUGSA,SANDEMA PUNGSA,,0245856959,,SERVICE,A,
AWULANSA ADABINSA JUNIOR HIGH SCHOOL,150 METRES AWAY FROM NAWASA ON YOUR LEFT HAND SIDE,AWULANSA AZUEYERI,AWULANSA GUUTA,AWULANSA-GUUTA,"P. O. BOX 29, NAVRONGO",0244528542,,SERVICE,A,
AWULANSA ADABINSA PRIMARY SCHOOL,200 METRES AWAY FROM NAWASA ON YOUR LEFT HAND SIDE,AZUEYER NAWASA ROAD,GUUTA,AWULANSA-GUUTA,"P. O. BOX 29, NAVRONGO",0542782530,,SERVICE,A,
AWURADE DRINKING SPOT (MAMA TEE),BY AMAZIN GRACE,PALOMA ROAD,ZONGO,SENDEMA CENTRAL,,,,SERVICE,A,
AWUTEBA DRINKING SPOT,OPPOSITE ASAABOOYERI,"WIAGA-CHIOK-YISOBSA ROAD, CHIOK NO1",AKONGA-YERI,WIAGA CHIOK-ANPAYERI,,0541855332,,SERVICE,A,
AYABALIE SHOP,BY PALOMA,SANDEMA MARKET ROAD,SANDEMA MARKET,SENDEMA CENTRAL,,0507093255,,SERVICE,A,
