,,,,,,,,,,
ESTABLISHMENT NAME,EXACT LOCATION,STREET ADDRESS,SUBURB,TOWN NAME,POSTAL ADDRESS,TELEPHONE,EMAIL,SECTOR,SIZE,
ABUDI STORE,NAYIRI IN FRONT OF DONG HOUSE,,,GUO,,,,SERVICE,A,
ABUDU GRINDING MILL,NEAR YAA MARTI FASHION CENTRE JOLETENG ROAD,,PONYANTANGA,PONYANTANGA,,0507808012,,INDUSTRY,A,
ABUDULAI BICYCLE SHOP,OPPOSITE THE MOSQUE,,,SIRIYIRI,,,,SERVICE,A,
ABUSUA BAR,50 METERS FROM BADU MONTANI'S HOUSE,,,NYOLI,,0249941800,,SERVICE,A,
ADAM STORE,OLD MARKET FACING WECHIAU ROAD,WECHIAU ROAD,OLD MARKET,DORIMON,,0263246817,,SERVICE,A,
ADAM VENTURES,BESIDE THE FIRST BORE HOLE,,ZONGO,BUKA,,0268001650,,SERVICE,A,
ADAMA SULEMAN GRINDING MILL,IN FRONT OF ADAMA SULEMAN'S HOUSE,,,TOKALI,,0241933367,,INDUSTRY,A,
ADAMS ENTERPRISE,GA,,,GA,,0245675412,,SERVICE,A,
ADAMS ENTERPRISE,OPPOSITE PONYANTANGA MARKET,,PONYANTANGA,PONYANTANGA,,0506826017,,SERVICE,A,
ADAMS GRINDING MILL,ADJACENT OLINAA HOUSE,GBACHE-BORO ROAD,GBACHE,GBACHE,,0246905877,,INDUSTRY,A,
ADAMU,ON THE MAIN ROAD TO NYGLI ON THE RIGHT SIDE,,,GUO,,,,SERVICE,A,
ADAMU GRINDING MILL,ADAMU'S HOUSE,,JAGULU NO. 1,JAGULU,,,,INDUSTRY,A,
ADAMU GRINDING MILL,BY THE ROAD SIDE,,NYOLI,NYOLI,,0248453959,,INDUSTRY,A,
ADJOA STORE,BESIDE THE DORIMON NEW MOSQUE,ALONG THE WA ROAD,ZONGO,DORIMON,,0542190185,,INDUSTRY,A,
ADNAN WOOD WORK SHOP,OPPOSITE BUDA YIRI MOSQUE,PASE ROAD,BUDA YIRI,DORIMON,,0263398282,,INDUSTRY,A,
AFISATU DRESSMAKING SHOP,MEKPAA,,,MEKPAA,,0548655146,,INDUSTRY,A,
AGAMAL LIMITED,INSIDE THE  POLYCLINIC BUILDING,,,WECHIAU,"P.O.BOX 10, OBUASI",0243925978,,SERVICE,A,
AGMENBALONO ENTERPRISE,ADJACENT OLD GES OFFICE,,,WECHIAU,,0267742459,,SERVICE,A,
AGRO GRINDING MILL,AT THE LEFT  SIDE FROM THE ENTRANCE OF THE COMMUNITY,,BUKA YIRI,BUKA,,0248167214,,INDUSTRY,A,
AGYAASUMA ENTERPRISE,200 METERS AWAY FROM THE MARKET,,,NYOLI,,0241051413,,INDUSTRY,A,
AHMED ENTERPRISE,WECHIAU CENTRAL MARKET,WECHIAU MARKET,WECHIAU,WECHIAU,,0242315037,,SERVICE,A,
AHMED GRINDING MILL,CENTRAL MARKET,,,WECHIAU,,0263231137,,INDUSTRY,A,
AIRTEL POLE MUNI MOSQUE,IN FRONT OF POLYCLINIC,,,WECHIAU,,0263404604,,SERVICE,A,
AJAANAMAALI TAILORING SHOP,OPPOSITE GOD IS GREAT BEAUTY SALON,,,NYOLI,,,,INDUSTRY,A,
AJAANASIGE TAILORING SHOP,BY THE ROAD SIDE,,NYOLI,NYOLI,,0207585521,,INDUSTRY,A,
AJAASUMA WEAVING SHOP,BY THE ROAD SIDE,,,NYOLI,,0540740518,,INDUSTRY,A,
AJARA SHOP,DORIMON OLD MARKET BESIDE THE AIRTEL POLE,ALONG WA ROAD,DORIMON OLD MARKET,DORIMON,,,,INDUSTRY,A,
AJARA SHOP,DORIMON OLD MARKET IN FRONT OF DORIMON LORRY MARKET,DORIMON LORRY PARK,DORIMON OLD MARKET,DORIMON,,0541638694,,SERVICE,A,
AJARA TAILORING SHOP,BY THE ROAD SIDE,,,NYOLI,,,,INDUSTRY,A,
AKOS ENTERPRISE,BEHIND THE BUTCHER HOUSE WECHIAU CENTRAL MARKET,WECHIAU CENTRAL MARKET,,WECHIAU,,0243361039,,INDUSTRY,A,
AKOSUA BEAUTY SALON,OPPOSITE TANVAARI MARKET VIERI ROAD,,TANVAARI,TANVAARI,,,,SERVICE,A,
AKUA FASHION,LOCATED IN THE MARKET AREA,,,PONYANTANGA,,0503665874,,INDUSTRY,A,
ALABRAKA ENTERPRISE,IN FRONT OF HOUSE NO. KL 0014,,,KPILA,,,,SERVICE,A,
ALEX DRINKING SPOT,FACING THE GONGOJOGLO FOOTPATH,,GONGO,GONGO,,,,SERVICE,A,
ALFOKL ENTERPRISE,BAKPAATENG,,KANDEU,BAKPAATENG,"P.O.BOX 47, WA",0265262873,,SERVICE,A,
ALHAJI ALHASSAN NUNKYELEE MOSQUE,ON THE SUKPERE OLI ROAD LEFT HAND SIDE,OLI ROAD,,SUKPERE,,0267741162,,SERVICE,A,
ALHAJI GAREBA ENTERPRISE,TANINA ON THE WA KUMASI ROAD,WA KUMASI ROAD,TANINA,TANINA,,0204509098,,SERVICE,A,
ALHAJI KAMBALARI ENTERPRISE,NAAYIRI FACING THE WECHIAU ROAD,WECHIAU ROAD,NAAYIRI,DORIMON,,0241479511,,SERVICE,A,
ALHAJI NUHU MOSQUE,ALHAJI NUHU HOUSE MOSQUE,FONGO,,WECHIAU,,0242670507,,SERVICE,A,
ALHAJI NUHU YAKUBU MANTANI CHEMICALS,ADJACENT FIRST NATIONAL BANK,,,WECHIAU,,0247809031,,SERVICE,A,
ALHAJI SUMANI GRINDING MILL,KANDEU,,,KANDEU,,0261228657,,INDUSTRY,A,
ALHAJI YUSSIF'S STORE,IN FRONT OF WECHIAU POLYCLINIC,,,WECHIAU,,0267050079,,SERVICE,A,
ALHAJI-MA ENTERPRISE,YIKPONG TANINA ON THE WA-KUMASI ROAD,WA-KUMASI ROAD,TANINA,TANINA,,0205676180,,SERVICE,A,
ALHANSSAN'S FUEL SHOP,ADJACENT MASTER AWUDU'S STORE,NAYIRI STREET,NAYIRI,TOKALI,,0241796045,,SERVICE,A,
ALHASSAN STORE,ALONG THE ROAD FROM DORIMON,SIRIYIRI DORIMON ROAD,,BORO,,0543504874,,SERVICE,A,
ALHASSAN'S STORE,IN FRONT OF MOHADINI'S GRINDING MILL,NAYIRI STREET,,TOKALI,,0545469248,,SERVICE,A,
ALI ENTERPRISE,25 METERS ALONG THE WECHIAU DORIMOND ROAD,,,BALEAUFILI,,0262182897,,SERVICE,A,
ALI GALIYUONI ENTERPRISE,BY THE ROAD SIDE,,NYOLI,NYOLI,,0246725378,,SERVICE,A,
ALIMA FASHION CENTRE,OPPOSITE MARKET,,POYANTANGA,POYANTANGA,,0541569630,,INDUSTRY,A,
ALL IS WELL SHOP,INSIDE THE MARKET,,,ZANG,,,,INDUSTRY,A,
ALOSIUS ENTERPRISE,ADJACENT FEDELIS TEA SPOT,VOLTA RIVER ROAD,DABO,DABO,,0263003668,,SERVICE,A,
AMA ACHIAA STORE,DANYINE'S HOUSE,,,PONYAMAYIRI,,,,SERVICE,A,
AMA YAWU ENTERPRISE,BALAWA NEAR THE MOSQUE,,BALAWA,BALAWA,,0201884993,,SERVICE,A,
AMADU'S GRINDING MILL,GA,,GA,GA,,0241123954,,INDUSTRY,A,
AMBANYE SPOT,CLOSER TO THE MOSQUE ON THE RIGHT SIDE,,,SIRIYIRI,,,,SERVICE,A,
AMBUCO.C EZE ENTERPRISE,NEAR MASTER FATAWU'S FITTING SHOP,,,WECHIAU,,0542454315,,SERVICE,A,
AMINA PROVISION STORE,NEAR THE MAIN MOSQUE,NAYIRI,,WECHIAU,,,,SERVICE,A,
AMINA SALON,OPPOSITE THE BUDA YIRI MOSQUE,PASE ROAD,BUDA YIRI,DORIMON,,,,SERVICE,A,
AMINA TAILORING SHOP,OPPOSITE BUDA YIRI GRINDING MILL,PASE ROAD,BUDAN YIRI,DORIMON,,0263240392,,INDUSTRY,A,
AMOS ENTERPRISE,DIRECTLY OPPOSITE CHURCH OF PENTECOST BAMKPAMA,,BAMKPAMA,BAMPKAMA,,0545183649,,SERVICE,A,
AMOS SHOP,MODAPOHA,,,ASSE,,,,SERVICE,A,
AN-IH DRUG STORE,IN FRONT OF AN-IH'S HOUSE,,TEOME,DORNYE,,,,SERVICE,A,
AN-IH FUEL SHOP,OPPOSITE KOFIE JOSHUA'S HOUSE,,TEOME,DORNYE,,,,SERVICE,A,
ANAS ENTERPRISE,20 METERS AWAY FROM THE WECHIAU DORIMO ROAD,,,TANVAARI,,0262337155,,SERVICE,A,
ANAS GRINDING MILL,50 METERS OFF THE MAIN WECHIAU ROAD,,,KANTU,,,,INDUSTRY,A,
ANAYENG STORE,NEAR THE CHIEFS PALACE,,CENTRAL OF BIENYE,BIENYE,,0546509430,,SERVICE,A,
ANBALIKUU ENTERPRISE,OPPOSITE CHIEFS PALACE,,,WECHIAU,"P.O.BOX 569, WECHIAU",0245284090,,SERVICE,A,
ANBAMANA STORE,ALONG JAMBUSE ROAD OPPOSITE HAMIDU STORE,JAMBUSE ROAD,GURONUARA,PASE,,0265888535,,SERVICE,A,
ANTHONY SPOT,INSIDE THE MARKET,,,CHERIBILE,,,,SERVICE,A,
ANTUNG BAR,BY THE BORE HOLE IN KUSSALE,PATH OF YIPALA,KUSSALE,KUSSALE,,,,SERVICE,A,
APUSKELEKE DRINKING SPOT,OPPOSITE THING FOR YOU NEVER LOST,,PONYANTANGA,PONYANTANGA,,0248554498,,SERVICE,A,
ASANA FUFU BAR,BY THE ROAD SIDE,,NYOLI,NYOLI,,0541556490,,SERVICE,A,
ASSE MOSQUE,INSIDE TAGAZU,,,ASSE,,,,SERVICE,A,
ASSEMBLIES OF GOD,ON THE MAIN ROAD FROM CHARIA ON THE RIGHT SIDE,,,ASSE,,,,SERVICE,A,
ASSEMBLIES OF GOD,KACHIAU NEAR THE ROAD,,WECHIAU,KACHIAU,"P.O.BOX 13, WA",0261957822,,SERVICE,A,
ASSEMBLIES OF GOD CHURCH,ADJACENT DCE'S BUNGALOW KACHIAU ROAD,,,WECHIAU,"P.O.BOX 13, WA",0261957822,,SERVICE,A,
ASSEMBLYMAN STORE,NEAR THE LORRY STATION,,,WECHIAU,"P.O.BOX 16, WECHIAU",0246191473,,SERVICE,A,
ATTA ENTERPRISE,AT THE WEST OUT SKETCH OF GOMBILE,,GOMBILE,GOMBILE,,,,SERVICE,A,
ATTA GRINDING MILL,AT THE WEST OF GOMBILE,,GOMBILE,GOMBILE,,,,INDUSTRY,A,
AUGUSTINE SHOP,OPPOSITE HEALTH CENTER,MAIN ROAD,,EGGU,,,,SERVICE,A,
AYISHA BEAUTY SALON,INSIDE OLD MARKET,,OLD MARKET,DORIMON,,0241430635,,SERVICE,A,
AYISHA'S WEAVING SHOP,BY WECHIAU CHIEF'S HOUSE,NAYIRI YENGE,,WECHIAU,,0247646762,,INDUSTRY,A,
AYISHATU HAIR DRESSING SALON,OLD MARKET FACING WECHIAU ROAD,WECHIAU ROAD,OLD MARKET,DORIMON,,0546845638,,SERVICE,A,
AZAASUMA BEAUTYSALON,OPPOSITE THE POST OFFICE,,,WECHIAU,,0544362701,,SERVICE,A,
AZARYA STORE,ALONG SIIRA ROAD OPPOSITE THE BORE HOLE,SIIRA ROAD,DABO,DABO,,0265882985,,SERVICE,A,
B K THADDEUS VENTURES,INSIDE THE MARKET,,,ZAN,,,,SERVICE,A,
B.K ENTERPRISE,ABOUT 3 HOUSES BEHIND THE CENTRAL MOSQUE,,,VARINPARE,,0542657674,,SERVICE,A,
B.K GRINDING MILL,BEHIND B.K ENTERPRISE,,,VARINPARE,,0542657674,,INDUSTRY,A,
BA SHOP,SENBALEEYIRI NEAR THE ROAD TO DORIMO,,WECHIAU,WECHIAU,"P.O.BOX 15, WECHIAU",0267125663,,INDUSTRY,A,
BAALABONG ENTERPRISE,OPPOSITE BADU MONTANI'S HOUSE,,,NYOLI,"P.O.BOX 561, NAYIRI WA",0245686996,,SERVICE,A,
BAANYAA GRINDING MILL,GA,,GA,GA,,0507675484,,INDUSTRY,A,
BADAARA VENTURES,INSIDE DABO MARKET,,DABO,DABO,,,,SERVICE,A,
BADAYOUR GRINDING MILL,LOCATED AT THE ENTRANCE JAMBUSE AT THE RIGHT HAND,JAMBUSE,JAMBUSE,JAMBUSE,,,,INDUSTRY,A,
BADIA ENTERPRISE,ALONG THE WA ROAD OPPOSITE THE AIRTEL POLE,ALONG WA ROAD,YIPIILA,DORIMON,,0544437228,,SERVICE,A,
BADINGU GRINDING MILL,NEAR THE YIPAANI BORE HOLE,,YIPAANI,MAASE,,0542501697,,INDUSTRY,A,
BAGAH GRINDING MILL,ON THE MAIN ROAD FROM BOLITUO TOSIIRA,MAIN ROAD,,BILANG,,,,INDUSTRY,A,
BAGURI SHOP,BAGURI HOUSE,,,NYALI,,,,SERVICE,A,
BAKARISU ENTERPRISE,OPPOSITE TANINA CENTRAL MOSQUES,WA-KUMASI,TANINA,TANINA,,0206247708,,INDUSTRY,A,
BALAWA INTERNATIONAL DAY CARE,BALAWA,,BALAWA,BALAWA,,0201849939,,SERVICE,A,
BALAWA MOSQUE,BALAWA,,BALAWA,BALAWA,,0506825572,,SERVICE,A,
BALTAA CELINA ENTERPRISE,LASSIE TUOLU MARKET,,WECHIAU,LASSIE TUOLU,,0542392143,,SERVICE,A,
BAMKPAMA CHURCH OF PENTECOST,10 METER ALONG THE MAIN ROAD,,BAMKPAMA,BAMKPAMA,,,,SERVICE,A,
BAMKPAMA R\C JUNIOR HIGH SCHOOL,CLOSE TO ZENOYILI FOOTPATH ADJACENT THE PRIMARY SCHOOL,,BAMKPAMA,BAMKPAMA,"P.O.BOX 47, LASSIE TUOLU",,,SERVICE,A,
BAMKPAMA R\C PRIMARY SCHOOL,CLOSE TO THE ZENOYILI FOOT,,BAMKPAMA,BAMKPAMA,"P.O.BOX 46, LASSIE-TUOLU",,,SERVICE,A,
BANABAS TAILORING SHOP,OPPOSITE SURO NIPA NA GYAESAMAN FASHION CENTRE,,PONYANTANGA,POYANTANGA,,0245439680,,INDUSTRY,A,
BANDA DAUDA CHEMICAL SHOP,OPPOSITE THE LORRY STATION,NAYIRI,,WECHIAU,,0541581366,,SERVICE,A,
BANGWAA GRINDING MILL,POGNYAMAYIRI CHIEF'S PALACE,,,POGNYAMAYIRI,,,,INDUSTRY,A,
BANGWAA STORE,CHIEF'S PALACE- POGNYAMAYIRI,,,POGNYAMAYIRI,,,,SERVICE,A,
BANTIEKO ENTERPRISE,OPPOSITE WAALA ENTERPRISE KUMASI ROAD,,POYANTANGA,PONYANTANGA,,0246322789,,SERVICE,A,
BAPTIST CHURCH,MAIN ROAD FROM WA ON THE LEFT,,,SIRIYIRI,,,,SERVICE,A,
BAPTIST CHURCH,KACHIAU NEAR THE CHIEF'S HOUSE,,WECHIAU,KACHIAU,,0241563657,,SERVICE,A,
BAPTIST CHURCH,INSIDE SILLA,,,SIILA,,,,SERVICE,A,
BARIKISU'S DRESSMAKING SHOP,LACO YIRI NEAR CENTRAL MARKET,LACO YIRI,,WECHIAU,,,,INDUSTRY,A,
BARKA STORE,IN FRONT OF THE CHPS COMPOUND,WA-YIERI ROAD,,VAKINPARE,,0543628759,,SERVICE,A,
BAWELE STORE,NEAR TO THE NYOSE CHURCH,,NYOSE,NYOSE,,0545993969,,SERVICE,A,
BAYONG GRINDING MILL,BAYONG RASHID'S HOUSE OPPOSITE TOKALI D\A PRIMARY,,NAYIRI,TOKALI,,0541585605,,INDUSTRY,A,
BEATRICE WEAVING SHOP,BY THE ROAD SIDE,,,NYOLI,,0201397228,,INDUSTRY,A,
BEAUTIFUL BEAUTY SALON,100 METERS AWAY FROM THE MARKET,,,NYOLI,,0201735608,,SERVICE,A,
BEE HAIR DRESSING SALON,LOCATED IN THE MARKET AREA,,PONYANTANGA,PONYONTANGA,,,,SERVICE,A,
BEIDAU MOTHERS STORE,WECHIAU KANDEU ROAD OPPOSITE DAN WAX MOTORS,,,WECHIAU,,,,SERVICE,A,
BEKONSAALA GRINDING MILL,IN THE MARKET SQUARE,,,KPILA,,,,INDUSTRY,A,
BEKPEN STORE,ON THE MAIN ROAD FROM ZANKO JUNCTION ON THE RIGHT,,,SIRIYIRI,,,,SERVICE,A,
BENEDICT'S SPOT,ADJACENT THE MARKET ALONG KUMASI ROAD,,PONYANTANGA,PONYANTANGA,,0247187817,,SERVICE,A,
BEO GRINDING MILL,VIERI FANFARA ROAD,,,BERINYASE,,0246228365,,INDUSTRY,A,
BERINYASE D\A PRIMARY SCHOOL,ALONG THE VIERI-TANFARE ROAD,VIERI-TANFARE ROAD,,BERINYASE,"P.O.BOX 15, WECHIAU",,,SERVICE,A,
BERNYASE D\A JUNIOR HIGH SCHOOL,ALONG THE VIERI TANFARE ROAD,VIERI- TANFARE ROAD,,BERINYASE,,,,SERVICE,A,
BIBILA'S AKPETESHIE DISTILLATION AND DRINKING SPOT,BEHIND BIBILA'S HOUSE,,YUONUURI,YUONUURI,,,,SERVICE,A,
BIENYE ENTERPRISE,ALONG THE MAIN ROAD,,GA,GA,,0500479924,,SERVICE,A,
BIENYE MOSQUE,NEAR THE COMMUNITY  PIPE,WECHIAU ROAD,YIPAANI,BIENYE,,0546509943,,SERVICE,A,
BIG ENTERPRISE,NEAR THE BORE HOLE IN DONTANGA,,SUGYIRI,DONTANGA,,0541582287,,SERVICE,A,
BIG ENTERPRISE,NEAR THE LORRY STATION,,,WECHIAU,,0249837330,,SERVICE,A,
BILFAATEY ENTERPRISE,10 METERS ALONG THE LASSIE MAIN ROAD JORTORTEY HOUSE,,JENBOB,JENBOB,,0264244774,,SERVICE,A,
BINYOTEY ENTERPRISE,UNDER THE BIG SHEA FRUIT TREE,,,WOLOYIRI,,0543182993,,SERVICE,A,
BLUE HILL ENTERPRISE,INSIDE DABO MARKET,,DABO,DABO,,0265258568,,INDUSTRY,A,
BOLITUO DAY NURSERY,ON THE RIGHT HAND SIDE FROM ZAN,,,BOLITUO,,,,SERVICE,A,
BON DAUDA JIEH PROVISION STORE,ALONG THE CHIETANGAN ROAD IN THE HOUSE PAINTED CREAM,GUSEH-CHIETAGAN ROAD,,GUSEH,,0267007802,,SERVICE,A,
BONE SPECIALIST DOCTOR BALAWA,BALAWA,,BALAWA,BALAWA,,0205414021,,SERVICE,A,
BONGAWNUNI GRINDING MILL,ALONG TH WECHIAU DORIMON ROAD,,MINPE ASEM,BIISIE,,,,INDUSTRY,A,
BORO METHODIST,IT IS THE ONLY SCHOOL IN THE COMMUNITY,,,BORO,"P.O.BOX 31, WA",0263169471,,SERVICE,A,
BORO METHODIST SOCIETY,ON THE ROAD TO DORIMON,,,BORO,"P.O.BOX 31, WA",,,SERVICE,A,
BOSKO BAR,NEAR BIENYE MOSQUE,,YIIKPEN,BIENYE,,0262869298,,SERVICE,A,
BOTO BARBERINGN SHOP,MOFA QUARTERS ONE,,,WECHIAU,"P.O.BOX 15, WECHIAU",0543386777,,SERVICE,A,
BOTO FITTING SHOP,KANDEU,,WECHIAU,KANDEU,,0245963964,,SERVICE,A,
BRUMAH YIRI COLD STORE,OPPOSITE ALHAJI NUHU MOSQUE,,,WECHIAU,,0243506554,,SERVICE,A,
BUDA YIRI MOSQUE,ALONG THE PASE ROAD,PASE ROAD,BUDA YIRI,DORIMON,,0540531816,,SERVICE,A,
BUKA METHODIST CHURCH,AT THE RIGHT HAND OF THE ENTRANCE OF THE COMMUNITY,,ZONGO,BUKA,,0248629058,,SERVICE,A,
BULI CENTRAL MOSQUE,BULI TONGU NEAR SEIBILE'S HOUSE,,BULI TONGU,BULI TONGU,,0246474716,,SERVICE,A,
BULI CHPS,BULI,,"BULI, MARKET",MARKET BULI,"P.O.BOX 402, WA",0547845575,,SERVICE,A,
BULI MOSQUE 2,BULI KOSENYAR NEAR MAHAMA'S HOUSE,,BULI KOSENYAR,BULI,,0545208896,,SERVICE,A,
BULI PENTECOST,BULI KOSENYAR,,BULI KOSENYAR,BULI,,0542821071,,SERVICE,A,
BULI R\C JUNIOR HIGH SCHOOL,BULI TONJU ON THE JENEBOB BUILDING ROAD,,,BULI,"P.O.BOX 47, WA",0243878121,,SERVICE,A,
BULI R\C PRIMARY SCHOOL,BULI,,BULI,BULI,"P.O.BOX 47, WA",0204108054,,SERVICE,A,
BULINGIN D\A PRIMARY SCHOOL,BULINGIN,,BULINGIN,BULINGIN,"P.O.BOX 15, WA",0245274558,,SERVICE,A,
BUNZAA BATA NAAMWINI MAALUU TAILORING SHOP,ADJACENT ABUSUA BAR,,,NYOLI,,0543049573,,INDUSTRY,A,
BUPUO GRINDING MILL,THE ENTRANCE OF DOLI,,DOLI,DOLI,,0541340505,,INDUSTRY,A,
BUSHIRA DRESSMAKING SHOP,BEHIND THE CHIEF'S HOUSE,NAYIRI,,WECHIAU,,0249736128,,INDUSTRY,A,
BY THE GRACE OF GOD ALMIGHTY FASHION AND DESIGNING CENTER,300 METERS AWAY FROM THE MARKET,,,NYOLI,", NIKL",0542086085,,INDUSTRY,A,
C K STORE,OPPOSITE WEIGHING CENTRE,,,CHARIBILE,,,,SERVICE,A,
CASH AND CARRY ENTERPRISE,NAKO NEAR SORIGUORA,,NAKOR,NAKOR,,0246855168,,SERVICE,A,
CATHOLIC CHURCH,NEAR THE DAILY MARKET,,CHOGSIA,CHOGSIA,,0502612840,,SERVICE,A,
CECILIA FASHION CENTRE,30 METERS FROM KUMASI ROAD BECHUUTEN ROAD,,PONYANTANGA,PONYANTANGA,,0500011459,,INDUSTRY,A,
CECILIA'S STORE,LASSIE TUOLU MARKET,,WEHIAU,LASSIE TUOLU,"P.O.BOX 245, WA",0541775863,,SERVICE,A,
CENTRAL MOSQUE,GA,,GA,GA,,0200666640,,SERVICE,A,
CHARILE R\C JHS,ON THE WAY TO TAKPO,,,CHARIBILE,,,,SERVICE,A,
CHARILE R\C PRIMARY SCHOOL,ON THE WAY TO TAKPO,,,CHRIBILE,,,,SERVICE,A,
CHARLES ELECTRICALS,OLD MARKET FACING WECHIAU ROAD,WECHIAU ROAD,OLD MARKET,DORIMON,,0261799374,,SERVICE,A,
CHEBARE D\A JUNIOR HIGH SCHOOL,NEAR YELEWONTEY'S HOUSE,,,CEBARE,,,,SERVICE,A,
CHEBILE GRINDING MILL,THE FIRST GRINDING MILL TO MEET WHEN COMING FROM WA,,,BOKO,,0240698027,,INDUSTRY,A,
CHIATANGA CENTRAL,BEHIND CHIATANGA ROMAN CATHOLIC PRIMARY SCHOOL,,,CHIATANGA,,,,SERVICE,A,
CHIETANGAN R\C PRIMARY SCHOOL,,,,CHIETANGAN,,,,SERVICE,A,
CHIPS COMPOUND,ON THE ROAD TO NANVILE,,,OLI,,,,SERVICE,A,
CHOGSIA CHIPS COMPOUND,CHOGSIA,,,CHOGSIA,,0547844848,,SERVICE,A,
CHOGSIA JUNIOR HIGH SCHOOL,BY THE RIVER SIDE,,CHOGSIA,CHOGSIA,,0502612840,,SERVICE,A,
CHOGSIA PRIMARY,NEAR THE CHURCH,,,CHOGSIA,,,,SERVICE,A,
CHRIST FRONTIER,BESIDE THE NYOSE CHURCH,MANI ROAD,,NYOSE,,0263483935,,SERVICE,A,
CHRIST FRONTIER,AT THE ENTRANCE OF GOMBILE,THE ROAD TO DORIMON,GOMBILE,GOMBILE,,0269207491,,SERVICE,A,
CHRIST FRONTIER MISSION INTERNATIONAL,AT THE MIDDLE OF KUZIE,THE ZANG ROAD,KUZIE NESE,KUZIE,,0543973108,,SERVICE,A,
CHRIST GLOBAL,ALONG THE ROAD,TANFARE-VIERI ROAD,,BERIYASE,"P.O.BOX 40, WA",,,SERVICE,A,
CHRISTIANA BEAUTY SALON,NEAR ZOOM LION OFFICE,WECHIAU DISTRICT ASSEMBLY ROAD,,WECHIAU,,0543157599,,SERVICE,A,
CHRISTY'S DRESSMAKING SHOP,NEAR THE MARKET,,METTEU,METTEU,,,,INDUSTRY,A,
CHURCH OF PENTECOST,OPPOSITE SABO'S HOUSE,,MAAKOYIRI,MAAKOYIRI,,,,SERVICE,A,
CHURCH OF PENTECOST,10 METERS TO THE WECHIAU ROAD,,,KANTU,,,,SERVICE,A,
COME AND SEE STORE,AT THE ENTRANCE OF KUKPALE NEAR THE KUKPALE SCHOOL,DABO ROAD,KUKPALE,KUKPALE,,0264194677,,SERVICE,A,
COMMUNITY OF HIPPO SANTUARY,NEAR NURSES QUARTERS KPANFA ROAD,,,WECHIAU,"P.O.BOX 569, TALAWONA",0242805908,,SERVICE,A,
COOL VENTURES,ALONG DISTRICT ASSEMBLY ROAD,,,WECHIAU,,0542394462,,SERVICE,A,
CORNER BAR,DISTRICT ASSEMBLY WECHIAU ROAD CORNER,,,WECHIAU,,0266935826,,SERVICE,A,
CORNILIUS TEA CENTRE,OPPOSITE SURO NIPA NAGYAE SAMAN FASHION CENTRE,,POYANTANGA,PONYANTANGA,,0241505075,,SERVICE,A,
